date,wedding planner,clases primaria,Entrenador Personal,Fontanero,Psicólogo,Entrega a domicilio,Aire acondicionado,pinturas,portes
2018-09-02,0.0,6.236461347664324,6.236461347664324,8.534105002066969,8,0,22,22,16
2018-09-09,0.0,0.0,8.862339809838776,6.56469615543613,9,0,23,54,8
2018-09-16,6.56469615543613,0.0,0.0,8.862339809838776,0,0,43,40,9
2018-09-23,6.56469615543613,0.0,0.0,13.12939231087226,0,0,31,34,13
2018-09-30,0.0,0.0,6.56469615543613,6.56469615543613,0,0,14,40,9
2018-10-07,0.0,6.892930963207937,6.892930963207937,6.892930963207937,9,0,9,53,0
2018-10-14,6.56469615543613,6.56469615543613,6.56469615543613,13.12939231087226,8,0,8,36,13
2018-10-21,0.0,0.0,6.56469615543613,6.56469615543613,17,0,26,34,9
2018-10-28,0.0,0.0,6.892930963207937,6.56469615543613,0,0,17,38,9
2018-11-04,0.0,0.0,6.236461347664324,10.503513848697809,0,0,16,35,8
2018-11-11,0.0,0.0,0.0,6.56469615543613,9,9,13,52,13
2018-11-18,6.236461347664324,0.0,6.56469615543613,12.801157503100454,8,8,11,33,0
2018-11-25,0.0,6.56469615543613,6.56469615543613,9.847044233154195,17,0,13,31,0
2018-12-02,20.350558081852004,0.0,6.892930963207937,6.892930963207937,9,9,9,29,9
2018-12-09,6.56469615543613,6.56469615543613,6.56469615543613,11.159983464241423,0,0,13,37,0
2018-12-16,0.0,0.0,0.0,6.56469615543613,8,8,11,56,0
2018-12-23,0.0,0.0,7.221165770979743,7.221165770979743,9,0,9,22,10
2018-12-30,0.0,7.221165770979743,0.0,7.221165770979743,9,0,0,15,9
2019-01-06,0.0,0.0,0.0,6.56469615543613,8,0,20,37,8
2019-01-13,0.0,0.0,12.472922695328649,6.236461347664324,0,0,16,30,8
2019-01-20,5.908226539892517,0.0,5.908226539892517,17.724679619677552,8,0,8,28,8
2019-01-27,0.0,0.0,6.236461347664324,15.427035965274907,13,0,11,32,0
2019-02-03,0.0,0.0,6.56469615543613,0.0,8,0,8,45,0
2019-02-10,0.0,0.0,6.56469615543613,19.69408846630839,0,0,8,31,9
2019-02-17,0.0,0.0,0.0,13.12939231087226,8,0,25,54,13
2019-02-24,0.0,6.56469615543613,6.56469615543613,8.862339809838776,0,0,14,46,9
2019-03-03,0.0,0.0,6.56469615543613,6.56469615543613,17,0,13,39,8
2019-03-10,6.56469615543613,0.0,6.56469615543613,0.0,17,0,14,42,17
2019-03-17,6.56469615543613,0.0,9.847044233154195,16.411740388590328,8,0,20,45,0
2019-03-24,6.56469615543613,0.0,0.0,19.69408846630839,0,0,21,37,9
2019-03-31,0.0,0.0,6.236461347664324,6.56469615543613,8,0,16,25,8
2019-04-07,6.56469615543613,0.0,0.0,6.56469615543613,42,0,17,42,8
2019-04-14,0.0,0.0,6.56469615543613,6.56469615543613,0,0,17,31,0
2019-04-21,0.0,0.0,0.0,6.236461347664324,0,0,14,44,8
2019-04-28,0.0,0.0,0.0,6.236461347664324,8,8,24,35,8
2019-05-05,0.0,0.0,6.236461347664324,0.0,0,0,17,49,0
2019-05-12,0.0,0.0,6.236461347664324,6.236461347664324,16,8,24,52,0
2019-05-19,0.0,0.0,6.56469615543613,12.801157503100454,8,0,8,44,17
2019-05-26,0.0,12.801157503100454,6.236461347664324,8.534105002066969,12,0,30,30,16
2019-06-02,0.0,5.908226539892517,0.0,5.908226539892517,8,0,23,52,8
2019-06-09,0.0,6.236461347664324,0.0,9.190574617610583,8,0,30,35,0
2019-06-16,0.0,0.0,6.236461347664324,19.365853658536587,0,0,22,28,8
2019-06-23,0.0,0.0,0.0,8.534105002066969,0,8,39,47,0
2019-06-30,12.801157503100454,6.56469615543613,6.56469615543613,19.365853658536587,8,0,47,19,8
2019-07-07,0.0,0.0,0.0,6.56469615543613,0,0,42,40,9
2019-07-14,0.0,0.0,6.56469615543613,16.411740388590328,8,0,17,40,17
2019-07-21,6.236461347664324,0.0,6.236461347664324,6.236461347664324,8,8,46,40,8
2019-07-28,6.56469615543613,0.0,0.0,6.56469615543613,0,0,34,39,8
2019-08-04,5.908226539892517,6.236461347664324,0.0,5.908226539892517,8,0,44,29,0
2019-08-11,6.236461347664324,0.0,6.236461347664324,6.236461347664324,0,0,40,32,8
2019-08-18,0.0,0.0,7.877635386523357,14.114096734187681,0,8,23,26,8
2019-08-25,5.908226539892517,0.0,17.724679619677552,5.908226539892517,8,0,20,46,0
2019-09-01,6.236461347664324,0.0,6.236461347664324,12.472922695328649,8,0,8,37,8
2019-09-08,6.236461347664324,6.236461347664324,6.236461347664324,9.51880942538239,0,0,16,30,16
2019-09-15,0.0,0.0,12.144687887556842,5.908226539892517,8,8,16,47,15
2019-09-22,6.236461347664324,0.0,0.0,12.144687887556842,8,0,20,37,8
2019-09-29,0.0,0.0,6.236461347664324,5.908226539892517,8,0,10,34,16
2019-10-06,0.0,5.908226539892517,5.908226539892517,5.908226539892517,8,0,18,39,8
2019-10-13,0.0,5.908226539892517,5.908226539892517,5.908226539892517,7,0,8,35,11
2019-10-20,0.0,0.0,5.908226539892517,7.877635386523357,10,0,8,38,8
2019-10-27,0.0,5.908226539892517,0.0,17.724679619677552,8,0,15,43,8
2019-11-03,5.579991732120711,0.0,5.579991732120711,13.12939231087226,7,0,15,39,11
2019-11-10,0.0,0.0,5.579991732120711,7.54940057875155,7,7,7,32,7
2019-11-17,5.579991732120711,0.0,5.579991732120711,0.0,7,0,11,49,7
2019-11-24,0.0,0.0,5.579991732120711,13.12939231087226,18,0,7,34,0
2019-12-01,5.908226539892517,0.0,5.908226539892517,7.877635386523357,8,0,15,38,8
2019-12-08,6.236461347664324,0.0,0.0,18.381149235221166,8,0,8,50,8
2019-12-15,0.0,0.0,5.908226539892517,28.556428276147166,7,0,22,22,7
2019-12-22,6.236461347664324,5.908226539892517,0.0,30.525837122778007,8,0,16,29,12
2019-12-29,6.236461347664324,0.0,6.236461347664324,20.67879288962381,8,0,8,48,8
2020-01-05,5.908226539892517,0.0,5.908226539892517,5.908226539892517,0,0,10,43,0
2020-01-12,0.0,0.0,0.0,5.251756924348904,7,0,14,30,7
2020-01-19,0.0,0.0,5.579991732120711,11.159983464241423,14,0,7,36,7
2020-01-26,0.0,0.0,5.579991732120711,5.579991732120711,7,0,11,50,7
2020-02-02,5.579991732120711,0.0,11.159983464241423,12.801157503100454,7,0,7,28,7
2020-02-09,0.0,0.0,5.579991732120711,5.579991732120711,14,0,14,36,0
2020-02-16,5.579991732120711,0.0,5.579991732120711,7.54940057875155,15,0,22,56,7
2020-02-23,5.251756924348904,0.0,5.251756924348904,5.251756924348904,7,0,10,37,7
2020-03-01,0.0,5.251756924348904,5.251756924348904,10.503513848697809,7,7,14,25,0
2020-03-08,0.0,0.0,4.9235221165770975,6.892930963207937,7,7,10,44,0
2020-03-15,4.9235221165770975,4.9235221165770975,4.9235221165770975,0.0,0,13,0,65,0
2020-03-22,0.0,6.892930963207937,0.0,9.51880942538239,6,12,9,62,6
2020-03-29,4.5952873088052915,0.0,4.5952873088052915,9.190574617610583,0,6,9,80,6
2020-04-05,4.9235221165770975,0.0,9.51880942538239,4.9235221165770975,6,0,6,58,6
2020-04-12,0.0,0.0,6.892930963207937,9.51880942538239,6,6,6,97,0
2020-04-19,0.0,0.0,4.5952873088052915,4.5952873088052915,6,8,10,93,6
2020-04-26,0.0,0.0,4.5952873088052915,7.54940057875155,0,0,6,57,6
2020-05-03,4.5952873088052915,4.5952873088052915,0.0,11.159983464241423,6,6,27,68,6
2020-05-10,4.5952873088052915,0.0,0.0,4.5952873088052915,12,0,0,55,6
2020-05-17,4.9235221165770975,0.0,4.9235221165770975,4.9235221165770975,0,6,26,74,0
2020-05-24,5.251756924348904,0.0,10.175279040926002,10.175279040926002,7,0,48,61,7
2020-05-31,4.5952873088052915,5.251756924348904,4.5952873088052915,4.5952873088052915,0,6,54,65,11
