date,Psicólogo,wedding planner,clases primaria,Fontanero,Entrenador Personal,Entrega a domicilio,Aire acondicionado,pinturas,portes
2019-03-17,1.7304375598850208,0.0,0.0,3.4608751197700416,0,0,12,11,2
2019-03-24,3.364739699776429,0.0,0.0,1.7304375598850208,8,2,15,12,2
2019-03-31,0.0,0.0,0.0,3.1724688597892046,3,0,13,9,0
2019-04-07,3.4608751197700416,1.7304375598850208,0.0,4.326093899712552,0,0,15,8,3
2019-04-14,1.6343021398914084,0.0,0.0,3.2686042797828168,3,0,12,10,0
2019-04-21,1.7304375598850208,0.0,1.7304375598850208,8.459916959437878,3,0,16,12,0
2019-04-28,0.0,0.0,0.0,2.4995209198339188,3,2,16,15,0
2019-05-05,1.7304375598850208,0.0,1.7304375598850208,3.364739699776429,2,0,35,13,2
2019-05-12,3.364739699776429,0.0,0.0,2.4995209198339188,2,0,38,15,2
2019-05-19,0.0,0.0,0.0,1.6343021398914084,2,0,20,10,2
2019-05-26,0.0,0.0,0.0,0.0,11,0,26,11,0
2019-06-02,0.0,0.0,0.0,4.037687639731715,4,0,43,13,3
2019-06-09,0.0,0.0,0.0,1.6343021398914084,2,0,30,20,0
2019-06-16,1.7304375598850208,1.7304375598850208,1.7304375598850208,2.4995209198339188,4,0,47,15,2
2019-06-23,0.0,1.7304375598850208,1.7304375598850208,3.4608751197700416,2,0,99,6,2
2019-06-30,1.7304375598850208,0.0,0.0,1.7304375598850208,2,0,100,11,0
2019-07-07,0.0,0.0,1.7304375598850208,4.326093899712552,4,0,78,11,0
2019-07-14,1.826572979878633,0.0,0.0,2.691791759821143,2,0,74,9,2
2019-07-21,0.0,0.0,0.0,1.826572979878633,2,2,64,9,3
2019-07-28,3.749281379750878,0.0,0.0,2.787927179814756,3,0,50,13,2
2019-08-04,0.0,0.0,1.826572979878633,0.0,2,0,92,12,2
2019-08-11,1.826572979878633,0.0,1.826572979878633,1.826572979878633,3,0,62,11,6
2019-08-18,0.0,0.0,0.0,1.826572979878633,4,2,48,14,0
2019-08-25,3.364739699776429,1.6343021398914084,1.6343021398914084,1.6343021398914084,8,0,22,11,2
2019-09-01,1.6343021398914084,1.6343021398914084,1.6343021398914084,3.1724688597892046,6,0,20,6,0
2019-09-08,1.442031299904184,1.442031299904184,0.0,1.442031299904184,3,0,12,9,0
2019-09-15,0.0,1.6343021398914084,0.0,4.902906419674225,2,0,10,9,2
2019-09-22,0.0,1.6343021398914084,0.0,3.1724688597892046,3,0,15,15,4
2019-09-29,2.3072500798466944,1.5381667198977962,1.5381667198977962,3.1724688597892046,4,0,11,12,3
2019-10-06,6.152666879591185,0.0,0.0,3.0763334397955924,6,0,11,16,4
2019-10-13,1.5381667198977962,1.5381667198977962,0.0,3.0763334397955924,4,0,11,13,2
2019-10-20,1.442031299904184,2.884062599808368,0.0,2.884062599808368,0,2,13,8,0
2019-10-27,0.0,0.0,0.0,3.8454167997444904,4,0,10,17,2
2019-11-03,0.0,0.0,0.0,2.98019801980198,2,0,9,9,3
2019-11-10,0.0,0.0,0.0,4.518364739699776,3,0,14,9,0
2019-11-17,2.211114659853082,0.0,1.5381667198977962,1.442031299904184,3,0,22,7,4
2019-11-24,0.0,0.0,0.0,2.211114659853082,2,0,13,9,2
2019-12-01,1.442031299904184,1.442031299904184,1.442031299904184,5.09517725966145,0,0,12,8,0
2019-12-08,2.3072500798466944,1.5381667198977962,0.0,2.3072500798466944,4,0,15,8,0
2019-12-15,1.5381667198977962,0.0,0.0,6.8256148195464705,0,0,9,10,2
2019-12-22,0.0,0.0,0.0,4.902906419674225,2,0,11,8,0
2019-12-29,3.2686042797828168,0.0,0.0,2.4033854998403066,4,0,14,8,2
2020-01-05,1.442031299904184,0.0,1.442031299904184,3.653145959757266,2,0,18,7,2
2020-01-12,1.3458958799105716,0.0,0.0,1.3458958799105716,3,0,10,10,0
2020-01-19,1.3458958799105716,0.0,0.0,3.9415522197381025,2,0,24,12,2
2020-01-26,2.787927179814756,0.0,1.442031299904184,2.1149792398594696,2,0,16,10,3
2020-02-02,2.1149792398594696,0.0,1.3458958799105716,0.0,3,0,12,8,2
2020-02-09,1.442031299904184,0.0,0.0,2.1149792398594696,3,2,5,12,2
2020-02-16,1.3458958799105716,0.0,1.3458958799105716,2.691791759821143,2,0,11,8,2
2020-02-23,1.3458958799105716,0.0,1.3458958799105716,2.0188438198658574,3,0,12,11,5
2020-03-01,2.595656339827531,1.3458958799105716,0.0,2.595656339827531,2,0,13,7,2
2020-03-08,1.9227083998722452,1.2497604599169594,0.0,1.9227083998722452,2,2,11,11,0
2020-03-15,1.1536250399233472,0.0,2.4033854998403066,2.4033854998403066,3,1,7,16,1
2020-03-22,1.0574896199297348,1.0574896199297348,1.0574896199297348,0.0,1,3,9,15,1
2020-03-29,0.0,2.211114659853082,1.0574896199297348,3.2686042797828168,1,3,4,21,1
2020-04-05,1.2497604599169594,0.0,1.2497604599169594,2.4033854998403066,3,2,7,18,0
2020-04-12,1.1536250399233472,0.0,1.1536250399233472,1.1536250399233472,1,4,6,19,4
2020-04-19,0.0,0.0,0.0,2.691791759821143,2,3,11,21,1
2020-04-26,2.3072500798466944,1.1536250399233472,1.1536250399233472,2.3072500798466944,1,2,24,19,1
2020-05-03,1.1536250399233472,1.1536250399233472,2.211114659853082,1.7304375598850208,3,0,48,24,1
2020-05-10,0.0,0.0,2.3072500798466944,0.0,2,1,23,19,0
2020-05-17,2.4033854998403066,1.2497604599169594,0.0,2.4033854998403066,2,3,44,19,1
2020-05-24,2.4033854998403066,0.0,1.2497604599169594,1.2497604599169594,1,0,43,18,2
2020-05-31,0.0,1.1536250399233472,0.0,3.0763334397955924,1,1,43,16,3
