date,Gartenhilfe,Sprache lernen,Solardach,Kochkurs,Dachfenster,Personal Trainer,Masseur,Garagenbau,Maler,Auto putzen,Poolbau,Elektriker,Klimaanlage,Tanzkurs,Baumeister
2019-12-22,0.0,3.9492097125445396,0.0,9.590937873322453,27.214203894616265,7.775486827033219,7.775486827033219,0.0,7,0,1,2,1,1,2
2019-12-29,0.0,0.0,0.0,3.3850368964667488,27.214203894616265,11.663230240549828,5.831615120274914,0.0,11,0,0,2,2,2,2
2020-01-05,0.0,0.0,0.0,9.590937873322453,33.04581901489118,7.775486827033219,7.775486827033219,0.0,11,0,0,4,4,2,1
2020-01-12,0.0,0.0,3.3850368964667488,6.205900976855705,31.101947308132875,7.775486827033219,5.831615120274914,5.831615120274914,11,0,1,4,4,2,7
2020-01-19,0.0,3.3850368964667488,0.0,17.489357298411534,25.27033218785796,5.831615120274914,9.719358533791523,5.831615120274914,15,0,0,2,2,1,2
2020-01-26,0.0,4.513382528622332,0.0,9.590937873322453,27.214203894616265,11.663230240549828,5.831615120274914,11.663230240549828,19,0,1,3,5,2,7
2020-02-02,0.0,0.0,0.0,7.898419425089079,29.15807560137457,15.550973654066437,5.831615120274914,0.0,14,0,0,3,2,1,4
2020-02-09,0.0,0.0,0.0,3.3850368964667488,38.87743413516609,15.550973654066437,0.0,0.0,12,0,0,2,2,1,3
2020-02-16,0.0,3.3850368964667488,0.0,11.283456321555828,36.93356242840779,9.719358533791523,5.831615120274914,0.0,17,0,1,4,4,1,4
2020-02-23,0.0,2.820864080388957,0.0,10.719283505478037,38.87743413516609,7.775486827033219,5.831615120274914,0.0,15,0,0,4,5,2,1
2020-03-01,0.0,3.3850368964667488,0.0,7.898419425089079,27.214203894616265,5.831615120274914,5.831615120274914,0.0,16,0,1,3,2,1,2
2020-03-08,0.0,4.513382528622332,0.0,6.205900976855705,21.38258877434135,15.550973654066437,5.831615120274914,0.0,11,0,0,2,2,1,3
2020-03-15,0.0,0.0,0.0,4.513382528622332,17.49484536082474,5.831615120274914,5.831615120274914,0.0,11,0,1,1,3,1,2
2020-03-22,0.0,0.0,0.0,2.820864080388957,40.8213058419244,7.775486827033219,5.831615120274914,0.0,11,0,1,3,1,1,4
2020-03-29,0.0,5.641728160777914,2.820864080388957,5.641728160777914,54.42840778923253,9.719358533791523,5.831615120274914,5.831615120274914,14,0,1,2,2,1,2
2020-04-05,0.0,6.205900976855705,6.205900976855705,3.3850368964667488,50.54066437571592,0.0,5.831615120274914,5.831615120274914,12,0,1,3,5,0,2
2020-04-12,0.0,9.026765057244663,0.0,2.820864080388957,66.09163802978236,11.663230240549828,0.0,0.0,14,0,1,2,6,1,3
2020-04-19,0.0,2.820864080388957,0.0,2.820864080388957,58.31615120274914,11.663230240549828,5.831615120274914,5.831615120274914,13,0,1,2,6,0,2
2020-04-26,0.0,0.0,0.0,2.820864080388957,44.70904925544101,5.831615120274914,5.831615120274914,0.0,13,0,1,2,5,1,2
2020-05-03,0.0,0.0,0.0,0.0,38.87743413516609,5.831615120274914,5.831615120274914,0.0,15,0,1,3,5,0,2
2020-05-10,0.0,5.641728160777914,0.0,2.820864080388957,50.54066437571592,9.719358533791523,5.831615120274914,0.0,12,0,1,4,8,1,2
2020-05-17,0.0,3.3850368964667488,0.0,3.3850368964667488,44.70904925544101,5.831615120274914,0.0,0.0,13,0,1,3,7,1,1
2020-05-24,0.0,2.820864080388957,0.0,2.820864080388957,60.26002290950745,5.831615120274914,0.0,5.831615120274914,14,0,1,3,5,1,3
2020-05-31,0.0,9.026765057244663,0.0,2.820864080388957,64.14776632302406,5.831615120274914,0.0,0.0,12,0,1,4,9,1,2
2020-06-07,0.0,2.820864080388957,0.0,4.513382528622332,54.42840778923253,5.831615120274914,5.831615120274914,0.0,15,0,1,3,13,1,2
2020-06-14,0.0,0.0,0.0,20.31022137880049,75.81099656357388,13.607101947308132,0.0,11.663230240549828,15,0,1,3,23,2,4
