date,travaux rénovation,paysagiste,piscine semi enterrée,apprendre anglais,Gazon synthétique,Installation climatisation,Artisan peintre,jardiner,moustiquaire porte,store banne,Cours de cuisine,panneau solaire,Cours de yoga,reparation store,Coach sportif
2018-09-16,0.0,34.1157476403378,0.0,34.1157476403378,0,29,0,29,0,0,0,43,0,0,0
2018-09-23,0.0,37.4441132637854,0.0,0.0,0,0,0,31,0,0,0,63,36,0,0
2018-09-30,0.0,0.0,0.0,0.0,0,0,0,32,0,32,0,0,38,0,0
2018-10-07,0.0,39.94038748137109,0.0,0.0,0,34,0,34,0,0,34,0,0,0,0
2018-10-14,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,33,0,0,40
2018-10-21,0.0,0.0,0.0,40.772478887232985,0,0,0,35,0,0,0,0,0,0,0
2018-10-28,0.0,41.60457029309488,0.0,0.0,0,0,0,0,0,35,35,0,0,0,0
2018-11-04,0.0,42.43666169895678,0.0,0.0,0,0,0,0,0,0,36,0,0,0,0
2018-11-11,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
2018-11-18,0.0,0.0,0.0,0.0,0,0,0,0,0,38,0,38,0,0,0
2018-11-25,0.0,44.932935916542476,0.0,0.0,0,0,0,0,0,0,0,0,0,0,45
2018-12-02,0.0,46.59711872826627,0.0,0.0,0,0,0,0,0,0,0,39,0,0,0
2018-12-09,0.0,0.0,0.0,47.42921013412817,0,0,0,0,0,0,41,0,0,0,0
2018-12-16,0.0,49.92548435171386,0.0,0.0,0,0,0,42,0,0,0,42,0,0,0
2018-12-23,0.0,0.0,0.0,0.0,0,0,0,46,0,0,0,47,54,0,0
2018-12-30,0.0,50.75757575757576,0.0,0.0,0,0,0,0,0,0,0,43,0,0,100
2019-01-06,0.0,0.0,0.0,0.0,0,0,0,0,0,0,40,39,0,0,46
2019-01-13,0.0,46.59711872826627,0.0,46.59711872826627,0,0,0,0,0,0,0,39,46,0,0
2019-01-20,0.0,0.0,0.0,0.0,37,0,0,0,0,37,0,0,0,0,0
2019-01-27,0.0,0.0,0.0,0.0,0,0,0,0,0,36,36,72,0,0,0
2019-02-03,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,38,45,0,0
2019-02-10,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,45,0,0
2019-02-17,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
2019-02-24,0.0,48.261301539990065,0.0,48.261301539990065,0,0,0,41,0,0,0,41,0,0,0
2019-03-03,0.0,47.42921013412817,0.0,46.59711872826627,41,0,0,0,0,0,0,0,0,0,0
2019-03-10,0.0,0.0,0.0,0.0,0,0,0,39,0,78,39,0,0,0,0
2019-03-17,0.0,0.0,0.0,0.0,0,0,0,40,0,40,0,40,0,0,0
2019-03-24,0.0,46.59711872826627,0.0,0.0,0,0,0,39,0,39,0,79,0,0,0
2019-03-31,0.0,0.0,0.0,44.932935916542476,38,0,0,0,38,75,0,0,44,0,0
2019-04-07,0.0,0.0,0.0,0.0,36,0,0,0,0,35,0,0,0,0,0
2019-04-14,0.0,0.0,0.0,40.772478887232985,0,0,0,0,34,0,0,0,0,0,42
2019-04-21,0.0,80.71286636860407,0.0,0.0,0,0,0,0,0,69,0,0,39,0,0
2019-04-28,0.0,0.0,0.0,0.0,35,0,0,0,0,35,0,0,0,0,0
2019-05-05,0.0,38.27620466964729,0.0,0.0,0,34,0,0,33,0,0,0,0,0,0
2019-05-12,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,32,38,0,55
2019-05-19,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,64,0,0,0
2019-05-26,0.0,74.05613512170889,0.0,0.0,0,0,0,31,0,63,0,31,36,0,36
2019-06-02,0.0,36.612021857923494,0.0,36.612021857923494,31,0,0,31,31,31,0,31,0,0,0
2019-06-09,0.0,0.0,0.0,0.0,30,30,0,30,0,0,0,0,0,0,69
2019-06-16,0.0,0.0,0.0,0.0,30,30,0,30,0,0,0,0,0,0,0
2019-06-23,0.0,0.0,0.0,0.0,28,0,0,0,57,28,0,0,0,0,0
2019-06-30,0.0,0.0,0.0,0.0,28,28,0,28,0,28,0,56,0,0,0
2019-07-07,0.0,0.0,0.0,29.955290611028317,0,0,0,25,25,51,0,76,0,0,0
2019-07-14,0.0,0.0,0.0,0.0,0,0,0,24,0,24,0,24,0,0,0
2019-07-21,0.0,0.0,0.0,28.29110779930452,24,0,0,0,0,48,0,0,28,0,28
2019-07-28,0.0,0.0,0.0,0.0,23,0,0,23,0,0,0,0,0,0,0
2019-08-04,0.0,0.0,0.0,0.0,22,0,0,0,0,0,0,0,0,0,26
2019-08-11,0.0,24.96274217585693,0.0,0.0,0,21,0,21,0,21,0,21,0,0,0
2019-08-18,0.0,25.794833581718827,0.0,0.0,0,0,0,0,0,22,22,22,25,0,25
2019-08-25,0.0,0.0,0.0,27.459016393442624,0,0,0,0,0,0,0,24,0,0,28
2019-09-01,0.0,0.0,0.0,0.0,25,0,0,0,0,0,25,25,0,0,0
2019-09-08,0.0,30.787382016890213,0.0,0.0,0,0,0,0,0,0,0,0,0,0,30
2019-09-15,0.0,0.0,0.0,0.0,0,27,0,27,0,78,0,26,0,0,31
2019-09-22,0.0,0.0,0.0,0.0,0,0,0,29,0,0,0,0,0,0,33
2019-09-29,0.0,73.22404371584699,0.0,0.0,0,0,0,0,0,30,0,31,71,0,0
2019-10-06,0.0,0.0,0.0,0.0,32,0,0,0,0,0,0,32,0,0,0
2019-10-13,0.0,0.0,0.0,0.0,0,0,0,0,0,66,33,33,0,0,57
2019-10-20,0.0,0.0,0.0,0.0,0,0,0,0,0,32,0,0,0,0,0
2019-10-27,0.0,0.0,0.0,0.0,32,32,0,64,0,33,0,32,0,0,38
2019-11-03,0.0,39.10829607550919,0.0,0.0,0,0,0,0,0,33,0,0,0,0,0
2019-11-10,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,34,39,0,0
2019-11-17,0.0,39.94038748137109,0.0,0.0,34,0,0,0,0,0,0,33,0,0,0
2019-11-24,0.0,0.0,0.0,0.0,34,0,0,0,0,34,0,34,0,0,39
2019-12-01,0.0,0.0,0.0,0.0,0,34,0,0,0,0,0,35,0,0,80
2019-12-08,0.0,40.772478887232985,0.0,0.0,0,0,0,0,0,0,0,71,0,0,0
2019-12-15,0.0,0.0,0.0,0.0,0,0,0,35,0,0,0,0,0,0,0
2019-12-22,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,39,0,0,0
2019-12-29,0.0,0.0,0.0,44.932935916542476,0,0,0,0,0,0,38,0,0,0,44
2020-01-05,0.0,40.772478887232985,0.0,0.0,0,0,0,0,0,35,35,0,0,0,0
2020-01-12,0.0,0.0,0.0,0.0,0,0,0,33,0,0,0,66,0,0,0
2020-01-19,0.0,0.0,0.0,0.0,0,0,0,0,0,32,0,32,0,0,0
2020-01-26,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,39,0,0
2020-02-02,0.0,0.0,0.0,0.0,33,0,0,0,0,0,0,0,0,0,58
2020-02-09,0.0,0.0,0.0,0.0,32,0,0,34,0,0,0,0,0,0,0
2020-02-16,0.0,0.0,0.0,41.60457029309488,0,0,0,35,0,35,0,0,41,0,0
2020-02-23,0.0,39.94038748137109,0.0,0.0,33,0,0,0,0,0,0,0,0,0,0
2020-03-01,0.0,36.612021857923494,0.0,0.0,0,0,0,0,0,0,0,32,0,0,37
2020-03-08,0.0,36.612021857923494,0.0,0.0,0,0,0,32,0,0,0,31,0,0,0
2020-03-15,0.0,0.0,0.0,0.0,0,0,0,0,0,29,0,0,0,0,34
2020-03-22,0.0,32.45156482861401,0.0,0.0,0,0,0,0,0,0,0,28,32,0,32
2020-03-29,0.0,33.283656234475906,0.0,0.0,28,0,0,56,0,28,0,28,32,0,0
2020-04-05,0.0,0.0,0.0,0.0,28,0,0,29,0,28,0,0,0,0,0
2020-04-12,0.0,0.0,0.0,0.0,29,0,0,28,0,0,0,55,32,0,32
2020-04-19,0.0,0.0,0.0,0.0,29,0,0,29,0,43,0,29,33,0,0
2020-04-26,0.0,0.0,0.0,0.0,28,0,0,42,28,0,0,84,33,0,0
2020-05-03,0.0,33.283656234475906,0.0,32.45156482861401,28,0,0,0,28,0,0,28,0,0,33
2020-05-10,0.0,34.947839046199704,0.0,0.0,29,0,0,88,29,29,0,29,0,0,0
2020-05-17,0.0,36.612021857923494,0.0,0.0,32,0,0,31,0,78,0,62,37,0,0
2020-05-24,0.0,0.0,0.0,0.0,47,0,0,0,0,62,0,93,36,0,36
2020-05-31,0.0,71.5598609041232,0.0,35.7799304520616,30,0,0,30,0,30,0,30,0,0,0
2020-06-07,0.0,0.0,0.0,0.0,29,0,0,0,0,0,0,29,0,0,34
2020-06-14,0.0,0.0,0.0,0.0,71,0,0,0,0,35,0,35,0,0,0
