date,wedding planner,clases primaria,Entrenador Personal,Fontanero,Psicólogo,Entrega a domicilio,Aire acondicionado,pinturas,portes
2020-01-05,2.0075421472937003,0.0,0.0,4.5771960958296365,5,0,21,11,0
2020-01-12,2.7302573203194322,0.0,2.7302573203194322,3.6938775510204085,2,2,18,10,3
2020-01-19,0.0,0.0,2.40905057675244,1.7666370896184562,2,0,13,11,0
2020-01-26,1.8469387755102042,0.0,1.8469387755102042,2.40905057675244,0,0,14,7,2
2020-02-02,1.8469387755102042,1.8469387755102042,1.8469387755102042,3.6938775510204085,2,2,12,9,2
2020-02-09,0.0,0.0,2.40905057675244,3.6135758651286602,2,0,13,11,4
2020-02-16,1.7666370896184562,1.7666370896184562,0.0,2.649955634427684,0,0,15,11,3
2020-02-23,0.0,0.0,2.8908606921029283,1.7666370896184562,2,2,8,12,5
2020-03-01,1.6863354037267082,0.0,1.6863354037267082,3.3726708074534164,2,0,9,6,3
2020-03-08,0.0,0.0,1.6060337178349602,2.40905057675244,0,2,9,9,3
2020-03-15,1.5257320319432122,1.5257320319432122,0.0,2.0075421472937003,2,2,4,14,0
2020-03-22,1.4454303460514641,0.0,2.8908606921029283,3.3726708074534164,2,2,6,15,0
2020-03-29,1.4454303460514641,1.4454303460514641,1.4454303460514641,2.1681455190771963,3,3,8,6,3
2020-04-05,0.0,0.0,0.0,3.9347826086956523,2,2,5,10,4
2020-04-12,1.5257320319432122,0.0,3.131765749778172,1.5257320319432122,2,3,6,22,2
2020-04-19,2.1681455190771963,1.4454303460514641,2.8908606921029283,4.336291038154393,2,0,9,17,2
2020-04-26,1.5257320319432122,1.4454303460514641,2.971162377994676,2.0075421472937003,2,2,14,15,2
2020-05-03,0.0,0.0,2.8908606921029283,2.1681455190771963,0,2,31,19,6
2020-05-10,1.5257320319432122,0.0,1.5257320319432122,2.087843833185448,4,2,22,22,4
2020-05-17,1.6060337178349602,0.0,1.6060337178349602,4.81810115350488,2,0,29,16,3
2020-05-24,0.0,0.0,3.292369121561668,2.40905057675244,2,2,33,11,2
2020-05-31,1.6863354037267082,0.0,2.569653948535936,2.3287488908606924,2,0,27,11,3
