date,travaux rénovation,Gazon synthétique,piscine semi enterrée,apprendre anglais,Coach sportif,Installation climatisation,Artisan peintre,jardiner,moustiquaire porte,store banne,Cours de cuisine,panneau solaire,paysagiste,Cours de yoga,reparation store
2018-11-11,0,11,0,22,22,0,0,0,0,0,11,22,18,11,0
2018-11-18,0,10,0,20,30,10,0,0,0,0,15,27,30,15,0
2018-11-25,10,0,0,10,10,10,0,0,0,0,20,30,20,10,0
2018-12-02,10,10,0,10,10,0,0,0,0,0,19,13,41,0,0
2018-12-09,0,9,9,14,19,0,0,0,0,0,9,9,22,0,0
2018-12-16,10,10,0,10,10,0,0,0,0,0,16,19,34,10,0
2018-12-23,0,0,0,10,10,0,10,10,0,0,25,20,24,0,0
2018-12-30,0,10,10,19,10,0,10,0,0,0,0,29,23,19,0
2019-01-06,0,10,10,16,16,0,0,0,0,10,10,13,32,0,0
2019-01-13,0,10,10,10,10,10,0,0,0,0,13,35,34,10,0
2019-01-20,10,0,9,9,9,0,0,9,0,9,16,25,44,19,0
2019-01-27,0,0,0,13,9,0,0,9,0,19,14,16,38,9,0
2019-02-03,0,0,0,10,14,10,0,9,0,0,19,25,38,10,0
2019-02-10,10,0,0,10,20,0,0,10,10,10,30,17,36,20,0
2019-02-17,0,22,0,11,22,11,0,0,11,33,0,39,52,0,0
2019-02-24,10,30,10,10,20,10,0,10,0,10,51,34,71,10,0
2019-03-03,0,10,9,9,19,9,0,14,0,22,9,22,63,9,0
2019-03-10,9,13,13,10,13,9,0,9,0,10,28,28,32,0,0
2019-03-17,0,17,10,10,15,0,10,30,10,23,15,30,53,15,0
2019-03-24,0,15,10,15,20,0,10,10,0,33,15,17,70,30,0
2019-03-31,0,10,10,10,20,0,0,13,0,20,20,30,46,10,0
2019-04-07,10,20,19,10,10,10,0,13,29,13,10,39,55,0,0
2019-04-14,11,27,21,0,11,0,0,18,11,43,0,43,46,0,0
2019-04-21,0,23,10,10,15,0,0,20,19,54,10,46,42,13,0
2019-04-28,10,14,10,10,14,0,9,14,19,19,13,35,54,24,0
2019-05-05,0,9,9,14,28,0,9,9,0,25,0,31,44,19,0
2019-05-12,0,10,20,10,0,10,10,23,10,20,10,26,58,13,0
2019-05-19,0,19,9,10,19,0,9,10,10,29,10,35,29,9,0
2019-05-26,10,0,0,10,20,0,0,15,15,24,10,25,30,10,0
2019-06-02,0,10,11,10,25,28,0,26,42,35,11,25,53,0,0
2019-06-09,10,25,10,15,20,20,0,15,10,30,10,36,43,10,0
2019-06-16,0,16,15,10,10,15,0,10,20,52,10,19,59,10,0
2019-06-23,10,15,20,0,20,23,0,0,23,59,15,23,46,20,0
2019-06-30,0,10,22,19,19,19,0,13,14,38,10,26,45,10,0
2019-07-07,10,19,10,10,29,19,0,10,19,14,0,51,35,10,0
2019-07-14,10,20,20,0,20,0,0,0,15,27,10,43,40,20,0
2019-07-21,11,11,26,22,28,15,0,11,17,39,11,37,30,11,0
2019-07-28,0,11,11,0,22,11,0,22,0,18,17,33,33,17,0
2019-08-04,0,13,0,10,19,0,0,0,0,19,10,16,42,19,0
2019-08-11,0,17,13,0,15,0,0,0,0,17,13,35,26,23,0
2019-08-18,0,8,8,8,17,8,0,8,8,14,8,20,34,17,0
2019-08-25,0,17,25,0,21,8,0,17,0,8,8,17,34,17,0
2019-09-01,0,0,0,19,19,0,0,9,14,14,9,28,50,19,0
2019-09-08,0,19,0,19,14,0,0,19,0,10,25,16,47,22,0
2019-09-15,0,9,19,13,9,9,0,9,0,16,19,38,50,9,0
2019-09-22,0,9,9,9,23,9,9,18,0,14,9,18,43,9,0
2019-09-29,0,9,0,26,21,0,0,18,0,9,0,26,56,9,0
2019-10-06,0,0,0,13,21,0,0,9,0,9,18,32,35,0,0
2019-10-13,9,0,9,27,9,0,0,9,0,0,22,45,39,9,0
2019-10-20,9,0,0,9,15,0,0,18,0,14,14,37,40,9,0
2019-10-27,9,0,0,9,9,0,9,9,0,9,18,18,27,9,0
2019-11-03,0,0,0,9,26,0,0,9,0,13,17,13,32,0,0
2019-11-10,0,9,9,9,18,0,0,0,0,9,23,27,30,18,0
2019-11-17,0,9,0,13,13,0,0,0,9,18,9,41,35,0,0
2019-11-24,0,0,0,8,17,8,8,0,0,8,25,28,34,8,0
2019-12-01,9,9,0,9,9,0,0,9,0,0,18,34,37,9,0
2019-12-08,9,9,9,17,9,0,0,0,0,9,20,23,23,9,0
2019-12-15,9,9,0,9,13,26,0,0,0,13,12,17,17,9,0
2019-12-22,0,9,9,9,9,9,0,9,0,0,9,35,21,0,0
2019-12-29,0,0,0,0,22,8,0,0,0,8,16,16,12,8,0
2020-01-05,0,8,8,8,12,0,0,8,0,0,8,40,30,8,0
2020-01-12,0,13,0,21,14,8,0,13,0,8,13,33,42,8,0
2020-01-19,0,9,9,9,23,0,0,9,0,0,9,17,43,9,0
2020-01-26,8,13,8,13,20,0,0,0,0,8,8,34,37,17,0
2020-02-02,0,0,13,9,17,8,0,8,0,26,8,20,59,17,0
2020-02-09,0,8,0,13,26,17,8,0,8,14,13,17,40,8,0
2020-02-16,0,9,9,0,20,9,0,0,9,17,9,20,43,0,0
2020-02-23,8,8,8,12,17,0,0,17,8,11,12,14,52,0,0
2020-03-01,8,16,8,13,19,12,8,24,0,11,8,27,54,8,0
2020-03-08,8,8,17,8,13,0,8,20,0,20,13,17,28,8,0
2020-03-15,0,8,8,13,11,0,8,17,17,19,0,25,33,17,0
2020-03-22,0,0,8,16,19,8,0,19,8,11,0,13,19,16,0
2020-03-29,0,8,21,8,13,8,8,40,8,27,8,24,40,16,0
2020-04-05,0,38,14,8,16,0,8,24,0,35,24,33,49,8,0
2020-04-12,0,22,28,12,25,0,8,41,8,30,0,19,69,8,0
2020-04-19,0,22,11,0,16,0,0,35,28,41,0,30,76,8,0
2020-04-26,8,19,23,18,31,8,0,28,15,33,8,25,43,0,0
2020-05-03,8,29,8,8,24,10,8,52,13,26,0,21,78,8,0
2020-05-10,8,16,11,11,16,12,12,34,16,35,8,28,34,8,0
2020-05-17,9,28,34,0,17,9,8,14,11,85,17,40,82,0,0
2020-05-24,17,31,19,8,17,8,0,28,11,42,8,53,100,0,0
2020-05-31,8,24,26,8,39,0,0,47,13,53,8,47,68,12,0
2020-06-07,8,24,12,0,16,11,8,24,8,24,16,27,75,0,0
2020-06-14,19,19,12,19,12,9,0,12,28,14,19,25,34,9,0
