date,travaux rénovation,paysagiste,piscine semi enterrée,apprendre anglais,Coach sportif,Installation climatisation,Artisan peintre,jardiner,moustiquaire porte,store banne,Cours de cuisine,panneau solaire,Cours de yoga,Gazon synthétique,reparation store
2018-08-05,5,24,9,10,10,16,5,8,10,21,5,29,10,14,5
2018-08-12,0,32,5,8,25,5,0,5,16,25,9,28,14,18,5
2018-08-19,0,14,13,5,20,5,0,11,0,16,0,23,14,14,5
2018-08-26,5,18,8,7,25,5,5,8,11,27,11,47,18,15,5
2018-09-02,6,37,6,17,30,11,17,6,0,13,14,20,28,11,6
2018-09-09,7,15,0,9,19,6,9,7,6,24,11,30,19,24,0
2018-09-16,0,24,11,17,18,8,11,0,0,15,6,20,24,7,6
2018-09-23,0,19,6,17,25,0,6,6,6,11,13,36,19,13,6
2018-09-30,11,17,0,15,19,6,6,6,0,7,8,37,7,13,6
2018-10-07,6,23,6,11,20,0,8,6,11,14,11,17,28,11,0
2018-10-14,0,21,0,9,25,12,6,6,6,12,6,44,6,12,0
2018-10-21,6,28,6,12,30,6,6,6,0,15,16,34,8,6,6
2018-10-28,0,20,6,11,6,6,0,11,6,17,7,29,6,9,0
2018-11-04,0,18,8,9,14,11,5,5,5,11,8,34,16,8,0
2018-11-11,6,19,6,14,21,11,6,14,6,6,8,32,14,17,0
2018-11-18,0,26,0,11,9,5,0,11,6,8,13,36,17,16,0
2018-11-25,11,30,6,23,9,8,0,6,0,6,19,36,9,15,0
2018-12-02,0,10,6,13,17,0,0,12,0,12,10,42,9,6,6
2018-12-09,0,37,0,11,17,6,12,6,0,6,23,31,9,8,6
2018-12-16,0,26,0,10,27,6,0,6,0,12,12,20,12,12,0
2018-12-23,0,10,0,7,10,0,0,7,0,7,23,33,13,10,0
2018-12-30,6,23,6,6,15,6,6,6,8,6,19,29,12,10,0
2019-01-06,0,15,6,15,23,11,6,6,0,13,6,25,9,11,6
2019-01-13,0,34,6,21,13,6,6,17,6,9,6,53,17,19,0
2019-01-20,5,25,16,27,24,5,5,0,0,11,13,38,8,18,0
2019-01-27,11,27,0,11,14,8,0,5,0,16,5,43,12,12,0
2019-02-03,0,21,6,13,17,6,0,11,0,17,19,45,13,22,6
2019-02-10,6,18,0,18,20,0,6,8,6,18,9,29,35,21,6
2019-02-17,0,35,12,12,19,6,0,9,0,29,10,60,12,33,0
2019-02-24,11,30,15,11,24,8,0,22,7,30,11,39,20,24,6
2019-03-03,6,22,11,8,22,8,6,17,6,31,13,44,8,40,0
2019-03-10,8,34,14,11,26,6,6,9,6,28,23,28,30,32,0
2019-03-17,6,36,11,13,19,6,6,25,9,40,12,46,11,50,0
2019-03-24,6,32,6,13,15,11,0,10,11,42,25,29,17,54,0
2019-03-31,6,30,6,11,11,0,7,11,14,56,9,56,11,30,0
2019-04-07,6,26,6,15,19,8,6,14,11,47,14,25,8,30,0
2019-04-14,11,28,8,17,13,6,6,6,14,34,6,30,6,36,0
2019-04-21,8,13,5,13,8,5,0,13,11,30,5,39,5,37,5
2019-04-28,5,26,7,14,24,5,11,8,7,44,13,53,7,42,5
2019-05-05,0,29,11,5,14,8,5,13,11,23,5,43,5,41,0
2019-05-12,5,20,5,16,13,8,0,14,9,22,11,43,5,41,5
2019-05-19,5,18,5,13,21,11,11,21,11,33,7,39,11,42,0
2019-05-26,5,14,8,11,14,0,0,13,13,32,11,39,13,53,5
2019-06-02,5,17,8,5,10,8,0,10,12,45,10,40,15,39,0
2019-06-09,0,30,5,8,12,7,5,10,13,30,10,45,10,52,0
2019-06-16,0,26,19,9,16,5,5,12,26,29,10,33,10,50,8
2019-06-23,0,19,12,8,8,33,0,5,21,51,5,51,8,45,0
2019-06-30,5,31,14,9,10,34,10,10,15,50,5,53,9,29,5
2019-07-07,5,27,14,10,22,15,0,10,7,47,8,47,10,52,5
2019-07-14,5,16,10,16,14,8,5,9,9,35,0,35,5,40,5
2019-07-21,0,17,7,5,16,10,5,5,12,37,8,23,5,32,5
2019-07-28,0,14,7,7,16,0,5,5,7,30,21,25,9,28,5
2019-08-04,5,21,8,9,21,11,0,5,26,35,11,30,11,21,0
2019-08-11,5,17,10,9,17,6,5,5,7,17,10,14,14,19,5
2019-08-18,4,18,9,7,38,0,4,9,11,19,4,40,19,21,0
2019-08-25,0,27,9,8,31,8,9,5,5,38,12,30,17,19,5
2019-09-01,5,28,8,15,22,0,8,7,7,22,13,40,18,27,5
2019-09-08,0,34,8,14,17,5,0,5,5,19,10,41,27,15,5
2019-09-15,5,25,5,15,17,10,5,8,0,23,10,37,18,18,5
2019-09-22,0,25,5,15,27,0,0,13,5,12,7,28,17,15,5
2019-09-29,0,31,5,17,19,0,0,5,8,13,12,44,10,31,10
2019-10-06,5,42,5,18,24,0,5,5,10,12,13,32,8,14,0
2019-10-13,8,20,10,18,12,10,5,0,5,10,5,37,8,18,5
2019-10-20,15,18,5,13,15,7,5,5,5,8,10,35,12,13,5
2019-10-27,0,29,5,8,19,15,5,5,10,15,8,37,5,12,5
2019-11-03,5,21,5,5,13,5,5,12,7,7,13,26,13,15,0
2019-11-10,0,21,0,5,11,5,0,10,0,11,13,36,15,15,5
2019-11-17,5,32,0,10,11,10,5,6,5,10,18,37,14,10,0
2019-11-24,5,14,5,5,11,7,0,7,0,18,19,27,7,5,5
2019-12-01,5,14,5,10,13,5,5,5,0,17,8,37,13,7,5
2019-12-08,0,11,0,8,23,5,10,5,5,5,22,28,10,15,0
2019-12-15,5,13,0,10,13,5,5,5,0,7,23,31,5,12,0
2019-12-22,5,13,5,8,20,0,5,5,5,8,15,29,11,7,5
2019-12-29,0,17,8,14,26,7,0,10,0,10,10,39,9,5,5
2020-01-05,9,20,0,9,30,5,5,5,0,14,9,16,17,9,0
2020-01-12,5,20,7,8,29,7,0,9,5,14,14,35,11,9,0
2020-01-19,5,20,5,17,23,9,5,9,0,14,8,31,19,14,5
2020-01-26,0,39,9,12,19,14,0,9,9,9,16,41,12,11,5
2020-02-02,0,28,5,13,22,12,5,13,5,17,8,31,11,23,5
2020-02-09,5,19,9,8,19,9,6,5,7,14,9,36,11,26,0
2020-02-16,0,37,5,9,19,7,5,9,0,30,17,33,7,23,5
2020-02-23,5,28,5,9,18,5,9,7,4,24,7,39,9,31,0
2020-03-01,9,26,7,6,19,0,4,9,4,16,6,38,13,37,4
2020-03-08,9,22,0,6,13,7,4,12,4,21,10,41,7,41,4
2020-03-15,0,27,0,18,16,0,0,16,5,12,7,12,31,28,4
2020-03-22,4,22,6,12,13,0,0,12,6,14,6,39,36,37,0
2020-03-29,0,18,8,18,17,0,8,22,8,16,6,27,20,48,0
2020-04-05,4,28,8,20,18,8,0,22,5,37,6,41,20,88,0
2020-04-12,4,23,11,19,20,8,0,27,12,35,5,46,19,90,4
2020-04-19,8,37,10,12,30,6,4,21,12,32,8,31,12,45,8
2020-04-26,11,14,7,7,16,4,4,22,14,35,0,37,6,58,4
2020-05-03,4,27,8,14,20,8,4,23,30,59,4,34,7,84,0
2020-05-10,4,26,8,10,22,6,4,14,13,31,8,35,9,67,4
2020-05-17,6,24,17,6,18,10,4,23,47,86,11,37,13,73,4
2020-05-24,6,31,15,12,12,11,4,16,40,80,4,41,8,100,6
2020-05-31,6,21,8,8,20,7,4,20,23,72,5,58,5,75,4
2020-06-07,0,26,11,9,18,10,0,8,21,54,5,62,4,43,4
2020-06-14,12,32,7,8,21,15,5,8,19,50,11,45,5,60,5
