date,travaux rénovation,Gazon synthétique,piscine semi enterrée,apprendre anglais,Coach sportif,Installation climatisation,Artisan peintre,jardiner,moustiquaire porte,store banne,Cours de cuisine,panneau solaire,paysagiste,Cours de yoga,reparation store
2019-08-04,0,16,0,0,24,0,0,0,0,24,16,32,0,21,0
2019-08-11,0,0,15,0,23,0,0,0,0,15,0,31,31,41,0
2019-08-18,0,0,15,0,45,0,0,0,0,0,0,38,20,20,0
2019-08-25,0,0,15,0,0,22,0,22,0,44,0,44,30,20,0
2019-09-01,14,0,0,14,21,0,0,0,0,14,14,29,76,38,0
2019-09-08,0,14,0,14,0,22,0,0,15,15,0,0,39,39,0
2019-09-15,0,14,14,29,64,0,0,21,0,29,0,14,58,19,0
2019-09-22,14,14,14,14,20,0,0,0,0,0,14,14,27,0,0
2019-09-29,0,0,0,0,21,0,0,0,0,14,13,34,46,0,0
2019-10-06,0,14,0,14,31,0,0,20,0,14,14,14,64,27,0
2019-10-13,14,0,0,0,20,0,0,41,0,0,14,14,27,18,0
2019-10-20,0,0,0,0,20,0,0,20,0,0,0,14,18,0,0
2019-10-27,0,0,13,0,0,0,0,0,0,0,0,13,53,18,0
2019-11-03,0,13,0,13,20,0,0,20,13,0,13,39,27,18,0
2019-11-10,13,0,0,20,20,0,0,39,0,13,13,26,44,0,0
2019-11-17,0,0,0,26,19,0,0,20,13,0,26,39,18,0,0
2019-11-24,0,0,0,13,29,0,0,38,0,0,51,19,26,17,0
2019-12-01,0,13,0,13,0,0,0,0,0,0,0,13,27,18,0
2019-12-08,0,0,0,0,19,0,0,0,0,0,13,0,17,0,0
2019-12-15,0,0,13,13,20,0,0,20,0,0,26,13,35,0,0
2019-12-22,0,13,0,0,40,0,0,20,0,0,27,13,18,0,0
2019-12-29,0,13,0,13,20,0,0,0,0,13,13,26,18,18,0
2020-01-05,0,0,13,13,19,0,0,19,0,13,0,13,0,0,0
2020-01-12,0,12,12,18,18,0,0,27,0,0,0,24,42,0,0
2020-01-19,0,13,25,13,38,19,0,0,0,13,0,13,43,17,0
2020-01-26,0,12,12,0,28,0,0,18,0,18,12,43,41,0,0
2020-02-02,0,0,0,12,19,19,0,18,0,12,0,31,25,0,0
2020-02-09,12,0,0,0,18,0,0,18,12,24,12,37,25,0,0
2020-02-16,0,12,12,12,36,18,0,18,0,12,0,31,57,16,0
2020-02-23,0,0,24,24,18,18,0,18,0,36,0,24,73,0,0
2020-03-01,0,0,0,36,36,18,0,36,0,24,0,30,33,0,0
2020-03-08,0,0,0,12,0,18,0,18,0,0,12,24,32,0,0
2020-03-15,0,0,11,21,16,0,0,58,11,16,0,11,36,14,0
2020-03-22,0,10,20,20,15,0,0,30,0,10,0,30,20,27,0
2020-03-29,0,0,0,10,15,0,0,38,0,25,0,30,34,0,0
2020-04-05,0,20,10,10,26,0,0,97,10,67,0,15,62,14,0
2020-04-12,10,11,31,11,31,16,0,57,26,52,0,26,21,14,0
2020-04-19,0,0,42,11,16,0,0,100,21,21,0,21,21,0,0
2020-04-26,0,20,0,10,15,0,0,54,10,39,0,15,20,13,0
2020-05-03,10,20,25,10,30,0,0,45,20,45,0,40,67,0,0
2020-05-10,0,10,0,10,37,0,0,58,10,42,0,26,28,0,0
2020-05-17,0,12,35,0,35,17,0,46,12,58,12,29,47,0,0
2020-05-24,11,28,23,11,17,34,0,39,22,51,11,28,38,0,0
2020-05-31,0,21,16,10,16,0,0,32,11,42,0,21,29,0,0
2020-06-07,0,11,11,16,16,16,0,16,16,27,11,11,65,0,0
2020-06-14,0,0,0,0,0,0,0,19,13,32,26,13,61,35,0
