Year,ticket_geo_region_name,Prof_type,Distribution
2020,Sardegna,Personal trainer,0.32
2020,Sardegna,Psicologo,0.33
2020,Sardegna,Riparazione console videogiochi,0.13
2020,Sicilia,Lezioni di inglese,0.23
2020,Sicilia,Personal trainer,0.28
2020,Sicilia,Psicologo,0.38
2020,Sicilia,Riparazione console videogiochi,0.12
2020,Trentino-Alto Adige,Lezioni di inglese,0.22
2020,Trentino-Alto Adige,Personal trainer,0.32
2020,Trentino-Alto Adige,Psicologo,0.36
2020,Trentino-Alto Adige,Riparazione console videogiochi,0.11
2020,Toscana,Lezioni di inglese,0.24
2020,Toscana,Personal trainer,0.34
2020,Toscana,Psicologo,0.36
2020,Toscana,Riparazione console videogiochi,0.06
2020,Umbria,Lezioni di inglese,0.26
2020,Umbria,Personal trainer,0.26
2020,Umbria,Psicologo,0.32
2020,Umbria,Riparazione console videogiochi,0.16
2020,Veneto,Lezioni di inglese,0.24
2020,Veneto,Personal trainer,0.29
2020,Veneto,Psicologo,0.36
2020,Veneto,Riparazione console videogiochi,0.11
