year,ticket_geo_region_name,Category_type,Distribution
2019,Lazio,Outdoor,0.11
2019,Lazio,Benessere e Tempo Libero,0.54
2019,Liguria,Cura della Casa,0.43
2019,Liguria,Outdoor,0.10
2019,Liguria,Benessere e Tempo Libero,0.47
2019,Lombardia,Cura della Casa,0.41
2019,Lombardia,Outdoor,0.08
2019,Lombardia,Benessere e Tempo Libero,0.51
2019,Marche,Cura della Casa,0.33
2019,Marche,Outdoor,0.09
2019,Marche,Benessere e Tempo Libero,0.58
2019,Molise,Cura della Casa,0.28
2019,Molise,Outdoor,0.14
2019,Molise,Benessere e Tempo Libero,0.58
2019,Piemonte,Cura della Casa,0.38
2019,Piemonte,Outdoor,0.08
2019,Piemonte,Benessere e Tempo Libero,0.54
2019,Puglia,Cura della Casa,0.24
2019,Puglia,Outdoor,0.13
2019,Puglia,Benessere e Tempo Libero,0.63
2019,Sardegna,Cura della Casa,0.37
2019,Sardegna,Outdoor,0.12
2019,Sardegna,Benessere e Tempo Libero,0.52
2019,Sicilia,Cura della Casa,0.25
2019,Sicilia,Outdoor,0.13
2019,Sicilia,Benessere e Tempo Libero,0.63
2019,Toscana,Cura della Casa,0.35
2019,Toscana,Outdoor,0.10
2019,Toscana,Benessere e Tempo Libero,0.55
2019,Trentino-Alto Adige,Cura della Casa,0.36
2019,Trentino-Alto Adige,Outdoor,0.09
2019,Trentino-Alto Adige,Benessere e Tempo Libero,0.55
2019,Umbria,Cura della Casa,0.28
2019,Umbria,Outdoor,0.12
2019,Umbria,Benessere e Tempo Libero,0.61
2019,Valle d'Aosta,Cura della Casa,0.34
2019,Valle d'Aosta,Outdoor,0.06
2019,Valle d'Aosta,Benessere e Tempo Libero,0.60
2019,Veneto,Cura della Casa,0.37
2019,Veneto,Outdoor,0.11
2019,Veneto,Benessere e Tempo Libero,0.52
2020,Abruzzo,Cura della Casa,0.34
2020,Abruzzo,Outdoor,0.26
2020,Abruzzo,Benessere e Tempo Libero,0.40
2020,Basilicata,Cura della Casa,0.31
2020,Basilicata,Outdoor,0.36
2020,Basilicata,Benessere e Tempo Libero,0.34
2020,Calabria,Cura della Casa,0.27
2020,Calabria,Outdoor,0.37
2020,Calabria,Benessere e Tempo Libero,0.36
2020,Campania,Cura della Casa,0.30
2020,Campania,Outdoor,0.25
2020,Campania,Benessere e Tempo Libero,0.44
2020,Emilia-Romagna,Cura della Casa,0.43
2020,Emilia-Romagna,Outdoor,0.23
2020,Emilia-Romagna,Benessere e Tempo Libero,0.34
2020,Friuli Venezia Giulia,Cura della Casa,0.40
2020,Friuli Venezia Giulia,Outdoor,0.28
2020,Friuli Venezia Giulia,Benessere e Tempo Libero,0.32
2020,Italia,Cura della Casa,0.40
2020,Italia,Outdoor,0.25
2020,Italia,Benessere e Tempo Libero,0.35
2020,Lazio,Cura della Casa,0.38
2020,Lazio,Outdoor,0.27
2020,Lazio,Benessere e Tempo Libero,0.35
2020,Liguria,Cura della Casa,0.46
2020,Liguria,Outdoor,0.24
2020,Liguria,Benessere e Tempo Libero,0.30
2020,Lombardia,Cura della Casa,0.48
2020,Lombardia,Outdoor,0.20
2020,Lombardia,Benessere e Tempo Libero,0.32
2020,Marche,Cura della Casa,0.38
2020,Marche,Outdoor,0.26
2020,Marche,Benessere e Tempo Libero,0.36
2020,Molise,Cura della Casa,0.35
2020,Molise,Outdoor,0.32
2020,Molise,Benessere e Tempo Libero,0.33
2020,Piemonte,Cura della Casa,0.44
2020,Piemonte,Outdoor,0.21
2020,Piemonte,Benessere e Tempo Libero,0.35
2020,Puglia,Cura della Casa,0.28
2020,Puglia,Outdoor,0.36
2020,Puglia,Benessere e Tempo Libero,0.36
2020,Sardegna,Cura della Casa,0.37
2020,Sardegna,Outdoor,0.25
2020,Sardegna,Benessere e Tempo Libero,0.38
2020,Sicilia,Cura della Casa,0.27
2020,Sicilia,Outdoor,0.35
2020,Sicilia,Benessere e Tempo Libero,0.39
2020,Toscana,Cura della Casa,0.40
2020,Toscana,Outdoor,0.25
2020,Toscana,Benessere e Tempo Libero,0.35
2020,Trentino-Alto Adige,Cura della Casa,0.41
2020,Trentino-Alto Adige,Outdoor,0.20
2020,Trentino-Alto Adige,Benessere e Tempo Libero,0.40
2020,Umbria,Cura della Casa,0.31
2020,Umbria,Outdoor,0.34
2020,Umbria,Benessere e Tempo Libero,0.34
2020,Valle d'Aosta,Cura della Casa,0.46
2020,Valle d'Aosta,Outdoor,0.18
2020,Valle d'Aosta,Benessere e Tempo Libero,0.37
2020,Veneto,Cura della Casa,0.41
2020,Veneto,Outdoor,0.25
2020,Veneto,Benessere e Tempo Libero,0.34
