,year,month,ticket_geo_region_name,ticket_taxonomy_tag_name,No_of_tickets
134,2018,1,Sicilia,Imbianchino,73
135,2018,1,Sicilia,Installazione pannelli solari,25
136,2018,1,Sicilia,Installazione piscina,19
137,2018,1,Sicilia,Installazione tende da sole,2
138,2018,1,Sicilia,Installazione zanzariera,1
139,2018,1,Sicilia,Lezioni di inglese,140
140,2018,1,Sicilia,Personal trainer,178
141,2018,1,Sicilia,Psicologo,115
142,2018,1,Sicilia,Sgombero cantine e soffitte,1
143,2018,1,Toscana,Aria Condizionata,88
144,2018,1,Toscana,Cura giardino,20
145,2018,1,Toscana,Imbianchino,135
146,2018,1,Toscana,Installazione pannelli solari,5
147,2018,1,Toscana,Installazione piscina,7
148,2018,1,Toscana,Installazione tende da sole,2
149,2018,1,Toscana,Installazione zanzariera,12
150,2018,1,Toscana,Lezioni di inglese,169
151,2018,1,Toscana,Personal trainer,233
152,2018,1,Toscana,Psicologo,178
153,2018,1,Toscana,Sgombero cantine e soffitte,12
154,2018,1,Trentino-Alto Adige,Aria Condizionata,13
155,2018,1,Trentino-Alto Adige,Cura giardino,5
156,2018,1,Trentino-Alto Adige,Imbianchino,26
157,2018,1,Trentino-Alto Adige,Installazione pannelli solari,4
158,2018,1,Trentino-Alto Adige,Installazione tende da sole,2
159,2018,1,Trentino-Alto Adige,Lezioni di inglese,24
160,2018,1,Trentino-Alto Adige,Personal trainer,53
161,2018,1,Trentino-Alto Adige,Psicologo,29
162,2018,1,Trentino-Alto Adige,Sgombero cantine e soffitte,2
163,2018,1,Umbria,Aria Condizionata,8
164,2018,1,Umbria,Cura giardino,6
165,2018,1,Umbria,Imbianchino,25
166,2018,1,Umbria,Installazione pannelli solari,4
167,2018,1,Umbria,Installazione piscina,1
168,2018,1,Umbria,Installazione zanzariera,3
169,2018,1,Umbria,Lezioni di inglese,39
170,2018,1,Umbria,Personal trainer,44
171,2018,1,Umbria,Psicologo,28
172,2018,1,Umbria,Sgombero cantine e soffitte,3
173,2018,1,Valle d'Aosta,Imbianchino,1
174,2018,1,Valle d'Aosta,Lezioni di inglese,3
175,2018,1,Valle d'Aosta,Personal trainer,5
176,2018,1,Valle d'Aosta,Psicologo,2
177,2018,1,Veneto,Aria Condizionata,73
178,2018,1,Veneto,Cura giardino,29
179,2018,1,Veneto,Imbianchino,219
180,2018,1,Veneto,Installazione pannelli solari,12
181,2018,1,Veneto,Installazione piscina,5
182,2018,1,Veneto,Installazione tende da sole,4
183,2018,1,Veneto,Installazione zanzariera,20
184,2018,1,Veneto,Lezioni di inglese,188
185,2018,1,Veneto,Personal trainer,289
186,2018,1,Veneto,Psicologo,170
187,2018,1,Veneto,Sgombero cantine e soffitte,10
188,2018,2,Abruzzo,Aria Condizionata,36
189,2018,2,Abruzzo,Cura giardino,7
190,2018,2,Abruzzo,Imbianchino,47
191,2018,2,Abruzzo,Installazione pannelli solari,3
192,2018,2,Abruzzo,Installazione zanzariera,2
193,2018,2,Abruzzo,Lezioni di inglese,55
194,2018,2,Abruzzo,Personal trainer,46
195,2018,2,Abruzzo,Psicologo,38
196,2018,2,Abruzzo,Sgombero cantine e soffitte,3
197,2018,2,Basilicata,Aria Condizionata,9
198,2018,2,Basilicata,Imbianchino,4
199,2018,2,Basilicata,Installazione pannelli solari,6
200,2018,2,Basilicata,Installazione zanzariera,1
201,2018,2,Basilicata,Lezioni di inglese,14
202,2018,2,Basilicata,Personal trainer,8
203,2018,2,Basilicata,Psicologo,10
204,2018,2,Calabria,Aria Condizionata,14
205,2018,2,Calabria,Cura giardino,4
206,2018,2,Calabria,Imbianchino,23
207,2018,2,Calabria,Installazione pannelli solari,14
208,2018,2,Calabria,Installazione piscina,2
209,2018,2,Calabria,Installazione zanzariera,6
210,2018,2,Calabria,Lezioni di inglese,31
211,2018,2,Calabria,Personal trainer,32
212,2018,2,Calabria,Psicologo,37
213,2018,2,Calabria,Sgombero cantine e soffitte,1
214,2018,2,Campania,Aria Condizionata,75
215,2018,2,Campania,Cura giardino,9
216,2018,2,Campania,Imbianchino,104
217,2018,2,Campania,Installazione pannelli solari,15
218,2018,2,Campania,Installazione piscina,6
219,2018,2,Campania,Installazione tende da sole,2
220,2018,2,Campania,Installazione zanzariera,23
221,2018,2,Campania,Lezioni di inglese,166
222,2018,2,Campania,Personal trainer,178
223,2018,2,Campania,Psicologo,178
224,2018,2,Campania,Sgombero cantine e soffitte,4
225,2018,2,Emilia-Romagna,Aria Condizionata,190
226,2018,2,Emilia-Romagna,Cura giardino,46
227,2018,2,Emilia-Romagna,Imbianchino,258
228,2018,2,Emilia-Romagna,Installazione pannelli solari,6
229,2018,2,Emilia-Romagna,Installazione piscina,6
230,2018,2,Emilia-Romagna,Installazione tende da sole,8
231,2018,2,Emilia-Romagna,Installazione zanzariera,37
232,2018,2,Emilia-Romagna,Lezioni di inglese,161
233,2018,2,Emilia-Romagna,Personal trainer,261
234,2018,2,Emilia-Romagna,Psicologo,182
235,2018,2,Emilia-Romagna,Sgombero cantine e soffitte,8
236,2018,2,Friuli Venezia Giulia,Aria Condizionata,27
237,2018,2,Friuli Venezia Giulia,Cura giardino,10
238,2018,2,Friuli Venezia Giulia,Imbianchino,48
239,2018,2,Friuli Venezia Giulia,Installazione pannelli solari,1
240,2018,2,Friuli Venezia Giulia,Installazione zanzariera,13
241,2018,2,Friuli Venezia Giulia,Lezioni di inglese,43
242,2018,2,Friuli Venezia Giulia,Personal trainer,62
243,2018,2,Friuli Venezia Giulia,Psicologo,22
244,2018,2,Friuli Venezia Giulia,Sgombero cantine e soffitte,2
245,2018,2,Lazio,Aria Condizionata,175
246,2018,2,Lazio,Cura giardino,36
247,2018,2,Lazio,Imbianchino,280
248,2018,2,Lazio,Installazione pannelli solari,10
249,2018,2,Lazio,Installazione piscina,8
250,2018,2,Lazio,Installazione tende da sole,8
251,2018,2,Lazio,Installazione zanzariera,27
252,2018,2,Lazio,Lezioni di inglese,160
253,2018,2,Lazio,Personal trainer,288
254,2018,2,Lazio,Psicologo,187
255,2018,2,Lazio,Sgombero cantine e soffitte,7
256,2018,2,Liguria,Aria Condizionata,34
257,2018,2,Liguria,Cura giardino,9
258,2018,2,Liguria,Imbianchino,56
259,2018,2,Liguria,Installazione pannelli solari,4
260,2018,2,Liguria,Installazione tende da sole,2
261,2018,2,Liguria,Installazione zanzariera,14
262,2018,2,Liguria,Lezioni di inglese,35
263,2018,2,Liguria,Personal trainer,65
264,2018,2,Liguria,Psicologo,34
265,2018,2,Liguria,Sgombero cantine e soffitte,5
266,2018,2,Lombardia,Aria Condizionata,304
267,2018,2,Lombardia,Cura giardino,79
268,2018,2,Lombardia,Imbianchino,560
269,2018,2,Lombardia,Installazione pannelli solari,15
270,2018,2,Lombardia,Installazione piscina,10
271,2018,2,Lombardia,Installazione tende da sole,12
272,2018,2,Lombardia,Installazione zanzariera,122
273,2018,2,Lombardia,Lezioni di inglese,425
274,2018,2,Lombardia,Personal trainer,529
275,2018,2,Lombardia,Psicologo,379
276,2018,2,Lombardia,Sgombero cantine e soffitte,16
277,2018,2,Marche,Aria Condizionata,32
278,2018,2,Marche,Cura giardino,7
279,2018,2,Marche,Imbianchino,41
280,2018,2,Marche,Installazione pannelli solari,3
281,2018,2,Marche,Installazione zanzariera,11
282,2018,2,Marche,Lezioni di inglese,50
283,2018,2,Marche,Personal trainer,68
284,2018,2,Marche,Psicologo,37
285,2018,2,Marche,Sgombero cantine e soffitte,2
286,2018,2,Molise,Aria Condizionata,3
287,2018,2,Molise,Cura giardino,1
288,2018,2,Molise,Imbianchino,1
289,2018,2,Molise,Lezioni di inglese,5
290,2018,2,Molise,Personal trainer,7
291,2018,2,Molise,Psicologo,3
292,2018,2,Piemonte,Aria Condizionata,99
293,2018,2,Piemonte,Cura giardino,21
294,2018,2,Piemonte,Imbianchino,161
295,2018,2,Piemonte,Installazione pannelli solari,5
296,2018,2,Piemonte,Installazione piscina,6
297,2018,2,Piemonte,Installazione tende da sole,1
298,2018,2,Piemonte,Installazione zanzariera,32
299,2018,2,Piemonte,Lezioni di inglese,120
300,2018,2,Piemonte,Personal trainer,216
301,2018,2,Piemonte,Psicologo,151
302,2018,2,Piemonte,Sgombero cantine e soffitte,9
303,2018,2,Puglia,Aria Condizionata,51
304,2018,2,Puglia,Cura giardino,14
305,2018,2,Puglia,Imbianchino,83
306,2018,2,Puglia,Installazione pannelli solari,7
307,2018,2,Puglia,Installazione piscina,13
308,2018,2,Puglia,Installazione tende da sole,2
309,2018,2,Puglia,Installazione zanzariera,16
310,2018,2,Puglia,Lezioni di inglese,114
311,2018,2,Puglia,Personal trainer,96
312,2018,2,Puglia,Psicologo,102
313,2018,2,Sardegna,Aria Condizionata,48
314,2018,2,Sardegna,Cura giardino,8
315,2018,2,Sardegna,Imbianchino,27
316,2018,2,Sardegna,Installazione pannelli solari,7
317,2018,2,Sardegna,Installazione piscina,1
318,2018,2,Sardegna,Installazione zanzariera,9
319,2018,2,Sardegna,Lezioni di inglese,32
320,2018,2,Sardegna,Personal trainer,49
321,2018,2,Sardegna,Psicologo,39
322,2018,2,Sardegna,Sgombero cantine e soffitte,2
323,2018,2,Sicilia,Aria Condizionata,42
324,2018,2,Sicilia,Cura giardino,11
325,2018,2,Sicilia,Imbianchino,95
326,2018,2,Sicilia,Installazione pannelli solari,20
327,2018,2,Sicilia,Installazione piscina,18
328,2018,2,Sicilia,Installazione tende da sole,2
329,2018,2,Sicilia,Installazione zanzariera,9
330,2018,2,Sicilia,Lezioni di inglese,122
331,2018,2,Sicilia,Personal trainer,113
332,2018,2,Sicilia,Psicologo,96
333,2018,2,Toscana,Aria Condizionata,100
334,2018,2,Toscana,Cura giardino,23
335,2018,2,Toscana,Imbianchino,143
336,2018,2,Toscana,Installazione pannelli solari,7
337,2018,2,Toscana,Installazione piscina,5
338,2018,2,Toscana,Installazione tende da sole,2
339,2018,2,Toscana,Installazione zanzariera,34
340,2018,2,Toscana,Lezioni di inglese,149
341,2018,2,Toscana,Personal trainer,175
342,2018,2,Toscana,Psicologo,148
343,2018,2,Toscana,Sgombero cantine e soffitte,4
344,2018,2,Trentino-Alto Adige,Aria Condizionata,6
345,2018,2,Trentino-Alto Adige,Cura giardino,4
346,2018,2,Trentino-Alto Adige,Imbianchino,18
347,2018,2,Trentino-Alto Adige,Installazione zanzariera,6
348,2018,2,Trentino-Alto Adige,Lezioni di inglese,21
349,2018,2,Trentino-Alto Adige,Personal trainer,30
350,2018,2,Trentino-Alto Adige,Psicologo,24
351,2018,2,Trentino-Alto Adige,Sgombero cantine e soffitte,1
352,2018,2,Umbria,Aria Condizionata,17
353,2018,2,Umbria,Cura giardino,6
354,2018,2,Umbria,Imbianchino,23
355,2018,2,Umbria,Installazione pannelli solari,6
356,2018,2,Umbria,Lezioni di inglese,28
357,2018,2,Umbria,Personal trainer,31
358,2018,2,Umbria,Psicologo,31
359,2018,2,Umbria,Sgombero cantine e soffitte,6
360,2018,2,Valle d'Aosta,Aria Condizionata,2
361,2018,2,Valle d'Aosta,Imbianchino,3
362,2018,2,Valle d'Aosta,Personal trainer,5
363,2018,2,Valle d'Aosta,Psicologo,1
364,2018,2,Valle d'Aosta,Sgombero cantine e soffitte,2
365,2018,2,Veneto,Aria Condizionata,84
366,2018,2,Veneto,Cura giardino,30
367,2018,2,Veneto,Imbianchino,225
368,2018,2,Veneto,Installazione pannelli solari,19
369,2018,2,Veneto,Installazione piscina,3
370,2018,2,Veneto,Installazione tende da sole,3
371,2018,2,Veneto,Installazione zanzariera,28
372,2018,2,Veneto,Lezioni di inglese,179
373,2018,2,Veneto,Personal trainer,189
374,2018,2,Veneto,Psicologo,184
375,2018,2,Veneto,Sgombero cantine e soffitte,3
376,2018,3,Abruzzo,Aria Condizionata,40
377,2018,3,Abruzzo,Cura giardino,10
378,2018,3,Abruzzo,Imbianchino,43
379,2018,3,Abruzzo,Installazione pannelli solari,2
380,2018,3,Abruzzo,Installazione piscina,3
381,2018,3,Abruzzo,Installazione tende da sole,3
382,2018,3,Abruzzo,Installazione zanzariera,9
383,2018,3,Abruzzo,Lezioni di inglese,40
384,2018,3,Abruzzo,Personal trainer,46
385,2018,3,Abruzzo,Psicologo,30
386,2018,3,Abruzzo,Sgombero cantine e soffitte,4
387,2018,3,Basilicata,Aria Condizionata,4
388,2018,3,Basilicata,Cura giardino,1
389,2018,3,Basilicata,Imbianchino,5
390,2018,3,Basilicata,Installazione pannelli solari,2
391,2018,3,Basilicata,Installazione zanzariera,4
392,2018,3,Basilicata,Lezioni di inglese,15
393,2018,3,Basilicata,Personal trainer,7
394,2018,3,Basilicata,Psicologo,10
395,2018,3,Basilicata,Sgombero cantine e soffitte,1
396,2018,3,Calabria,Aria Condizionata,24
397,2018,3,Calabria,Cura giardino,13
398,2018,3,Calabria,Imbianchino,25
399,2018,3,Calabria,Installazione pannelli solari,12
400,2018,3,Calabria,Installazione tende da sole,1
401,2018,3,Calabria,Installazione zanzariera,7
402,2018,3,Calabria,Lezioni di inglese,40
403,2018,3,Calabria,Personal trainer,22
404,2018,3,Calabria,Psicologo,37
405,2018,3,Calabria,Sgombero cantine e soffitte,5
406,2018,3,Campania,Aria Condizionata,115
407,2018,3,Campania,Cura giardino,15
408,2018,3,Campania,Imbianchino,121
409,2018,3,Campania,Installazione pannelli solari,3
410,2018,3,Campania,Installazione piscina,7
411,2018,3,Campania,Installazione tende da sole,3
412,2018,3,Campania,Installazione zanzariera,32
413,2018,3,Campania,Lezioni di inglese,179
414,2018,3,Campania,Personal trainer,195
415,2018,3,Campania,Psicologo,240
416,2018,3,Campania,Sgombero cantine e soffitte,7
417,2018,3,Emilia-Romagna,Aria Condizionata,345
418,2018,3,Emilia-Romagna,Cura giardino,68
419,2018,3,Emilia-Romagna,Imbianchino,305
420,2018,3,Emilia-Romagna,Installazione pannelli solari,8
421,2018,3,Emilia-Romagna,Installazione piscina,4
422,2018,3,Emilia-Romagna,Installazione tende da sole,21
423,2018,3,Emilia-Romagna,Installazione zanzariera,84
424,2018,3,Emilia-Romagna,Lezioni di inglese,209
425,2018,3,Emilia-Romagna,Personal trainer,308
426,2018,3,Emilia-Romagna,Psicologo,224
427,2018,3,Emilia-Romagna,Sgombero cantine e soffitte,8
428,2018,3,Friuli Venezia Giulia,Aria Condizionata,41
429,2018,3,Friuli Venezia Giulia,Cura giardino,20
430,2018,3,Friuli Venezia Giulia,Imbianchino,64
431,2018,3,Friuli Venezia Giulia,Installazione pannelli solari,4
432,2018,3,Friuli Venezia Giulia,Installazione piscina,2
433,2018,3,Friuli Venezia Giulia,Installazione tende da sole,2
434,2018,3,Friuli Venezia Giulia,Installazione zanzariera,15
435,2018,3,Friuli Venezia Giulia,Lezioni di inglese,36
436,2018,3,Friuli Venezia Giulia,Personal trainer,52
437,2018,3,Friuli Venezia Giulia,Psicologo,17
438,2018,3,Friuli Venezia Giulia,Sgombero cantine e soffitte,4
439,2018,3,Lazio,Aria Condizionata,258
440,2018,3,Lazio,Cura giardino,83
441,2018,3,Lazio,Imbianchino,249
442,2018,3,Lazio,Installazione pannelli solari,16
443,2018,3,Lazio,Installazione piscina,9
444,2018,3,Lazio,Installazione tende da sole,21
445,2018,3,Lazio,Installazione zanzariera,62
446,2018,3,Lazio,Lezioni di inglese,212
447,2018,3,Lazio,Personal trainer,325
448,2018,3,Lazio,Psicologo,177
449,2018,3,Lazio,Sgombero cantine e soffitte,12
450,2018,3,Liguria,Aria Condizionata,67
451,2018,3,Liguria,Cura giardino,13
452,2018,3,Liguria,Imbianchino,64
453,2018,3,Liguria,Installazione pannelli solari,3
454,2018,3,Liguria,Installazione tende da sole,4
455,2018,3,Liguria,Installazione zanzariera,15
456,2018,3,Liguria,Lezioni di inglese,42
457,2018,3,Liguria,Personal trainer,86
458,2018,3,Liguria,Psicologo,45
459,2018,3,Liguria,Sgombero cantine e soffitte,6
460,2018,3,Lombardia,Aria Condizionata,493
461,2018,3,Lombardia,Cura giardino,114
462,2018,3,Lombardia,Imbianchino,533
463,2018,3,Lombardia,Installazione pannelli solari,16
464,2018,3,Lombardia,Installazione piscina,13
465,2018,3,Lombardia,Installazione tende da sole,22
466,2018,3,Lombardia,Installazione zanzariera,206
467,2018,3,Lombardia,Lezioni di inglese,451
468,2018,3,Lombardia,Personal trainer,623
469,2018,3,Lombardia,Psicologo,446
470,2018,3,Lombardia,Sgombero cantine e soffitte,29
471,2018,3,Marche,Aria Condizionata,62
472,2018,3,Marche,Cura giardino,8
473,2018,3,Marche,Imbianchino,41
474,2018,3,Marche,Installazione pannelli solari,5
475,2018,3,Marche,Installazione piscina,3
476,2018,3,Marche,Installazione tende da sole,3
477,2018,3,Marche,Installazione zanzariera,13
478,2018,3,Marche,Lezioni di inglese,50
479,2018,3,Marche,Personal trainer,50
480,2018,3,Marche,Psicologo,34
481,2018,3,Molise,Aria Condizionata,3
482,2018,3,Molise,Imbianchino,1
483,2018,3,Molise,Lezioni di inglese,1
484,2018,3,Molise,Personal trainer,3
485,2018,3,Piemonte,Aria Condizionata,166
486,2018,3,Piemonte,Cura giardino,48
487,2018,3,Piemonte,Imbianchino,199
488,2018,3,Piemonte,Installazione pannelli solari,7
489,2018,3,Piemonte,Installazione piscina,5
490,2018,3,Piemonte,Installazione tende da sole,3
491,2018,3,Piemonte,Installazione zanzariera,57
492,2018,3,Piemonte,Lezioni di inglese,117
493,2018,3,Piemonte,Personal trainer,235
494,2018,3,Piemonte,Psicologo,144
495,2018,3,Piemonte,Sgombero cantine e soffitte,9
496,2018,3,Puglia,Aria Condizionata,81
497,2018,3,Puglia,Cura giardino,21
498,2018,3,Puglia,Imbianchino,108
499,2018,3,Puglia,Installazione pannelli solari,14
500,2018,3,Puglia,Installazione piscina,18
501,2018,3,Puglia,Installazione tende da sole,3
502,2018,3,Puglia,Installazione zanzariera,26
503,2018,3,Puglia,Lezioni di inglese,96
504,2018,3,Puglia,Personal trainer,113
505,2018,3,Puglia,Psicologo,123
506,2018,3,Puglia,Sgombero cantine e soffitte,4
507,2018,3,Sardegna,Aria Condizionata,62
508,2018,3,Sardegna,Cura giardino,6
509,2018,3,Sardegna,Imbianchino,25
510,2018,3,Sardegna,Installazione pannelli solari,9
511,2018,3,Sardegna,Installazione piscina,6
512,2018,3,Sardegna,Installazione tende da sole,5
513,2018,3,Sardegna,Installazione zanzariera,11
514,2018,3,Sardegna,Lezioni di inglese,49
515,2018,3,Sardegna,Personal trainer,54
516,2018,3,Sardegna,Psicologo,39
517,2018,3,Sardegna,Sgombero cantine e soffitte,1
518,2018,3,Sicilia,Aria Condizionata,85
519,2018,3,Sicilia,Cura giardino,19
520,2018,3,Sicilia,Imbianchino,71
521,2018,3,Sicilia,Installazione pannelli solari,24
522,2018,3,Sicilia,Installazione piscina,13
523,2018,3,Sicilia,Installazione tende da sole,6
524,2018,3,Sicilia,Installazione zanzariera,22
525,2018,3,Sicilia,Lezioni di inglese,110
526,2018,3,Sicilia,Personal trainer,121
527,2018,3,Sicilia,Psicologo,130
528,2018,3,Sicilia,Sgombero cantine e soffitte,2
529,2018,3,Toscana,Aria Condizionata,158
530,2018,3,Toscana,Cura giardino,48
531,2018,3,Toscana,Imbianchino,146
532,2018,3,Toscana,Installazione pannelli solari,10
533,2018,3,Toscana,Installazione piscina,8
534,2018,3,Toscana,Installazione tende da sole,20
535,2018,3,Toscana,Installazione zanzariera,51
536,2018,3,Toscana,Lezioni di inglese,150
537,2018,3,Toscana,Personal trainer,180
538,2018,3,Toscana,Psicologo,146
539,2018,3,Toscana,Sgombero cantine e soffitte,6
540,2018,3,Trentino-Alto Adige,Aria Condizionata,17
541,2018,3,Trentino-Alto Adige,Cura giardino,3
542,2018,3,Trentino-Alto Adige,Imbianchino,26
543,2018,3,Trentino-Alto Adige,Installazione tende da sole,2
544,2018,3,Trentino-Alto Adige,Installazione zanzariera,4
545,2018,3,Trentino-Alto Adige,Lezioni di inglese,18
546,2018,3,Trentino-Alto Adige,Personal trainer,32
547,2018,3,Trentino-Alto Adige,Psicologo,35
548,2018,3,Trentino-Alto Adige,Sgombero cantine e soffitte,2
549,2018,3,Umbria,Aria Condizionata,28
550,2018,3,Umbria,Cura giardino,9
551,2018,3,Umbria,Imbianchino,28
552,2018,3,Umbria,Installazione pannelli solari,5
553,2018,3,Umbria,Installazione piscina,2
554,2018,3,Umbria,Installazione zanzariera,9
555,2018,3,Umbria,Lezioni di inglese,25
556,2018,3,Umbria,Personal trainer,26
557,2018,3,Umbria,Psicologo,45
558,2018,3,Umbria,Sgombero cantine e soffitte,3
559,2018,3,Valle d'Aosta,Aria Condizionata,3
560,2018,3,Valle d'Aosta,Imbianchino,7
561,2018,3,Valle d'Aosta,Installazione zanzariera,3
562,2018,3,Valle d'Aosta,Lezioni di inglese,4
563,2018,3,Valle d'Aosta,Personal trainer,1
564,2018,3,Valle d'Aosta,Psicologo,3
565,2018,3,Veneto,Aria Condizionata,171
566,2018,3,Veneto,Cura giardino,53
567,2018,3,Veneto,Imbianchino,208
568,2018,3,Veneto,Installazione pannelli solari,6
569,2018,3,Veneto,Installazione piscina,6
570,2018,3,Veneto,Installazione tende da sole,10
571,2018,3,Veneto,Installazione zanzariera,62
572,2018,3,Veneto,Lezioni di inglese,183
