date,Energiezertifizierer,Dachdecker,Elektriker,Fenster,Smart Home,bauen,Blumen,Einbruch,Schlüsseldienst,Solar
2019-01-27,0,0,0,0,0,19,39,0,0,0
2019-02-03,0,0,20,30,0,20,0,0,0,25
2019-02-10,0,0,0,20,0,20,30,0,0,25
2019-02-17,0,19,0,39,0,39,19,0,0,51
2019-02-24,0,0,0,20,0,20,40,0,0,50
2019-03-03,0,0,0,63,0,31,20,0,0,26
2019-03-10,0,0,0,29,0,0,20,0,0,0
2019-03-17,0,0,20,20,0,0,20,0,0,51
2019-03-24,0,0,0,39,0,0,20,0,0,50
2019-03-31,0,0,0,19,0,39,29,0,0,24
2019-04-07,0,0,0,20,0,29,29,0,0,100
2019-04-14,0,0,0,22,0,22,22,0,0,42
2019-04-21,0,0,0,22,0,22,44,0,0,0
2019-04-28,0,0,0,19,0,29,0,0,0,74
2019-05-05,0,0,19,19,0,18,37,0,0,23
2019-05-12,0,0,0,38,0,38,38,0,0,36
2019-05-19,0,0,0,20,0,20,20,0,0,24
2019-05-26,0,0,0,62,0,21,21,0,0,26
2019-06-02,0,0,0,38,0,0,40,0,0,24
2019-06-09,0,0,19,38,0,38,19,0,0,24
2019-06-16,0,0,0,21,0,41,31,0,0,39
2019-06-23,0,0,0,22,0,0,0,0,0,85
2019-06-30,0,0,21,21,0,21,0,0,0,27
2019-07-07,0,0,0,0,0,0,22,0,0,28
2019-07-14,0,0,23,0,0,34,23,0,0,44
2019-07-21,0,0,0,24,0,37,0,0,0,0
2019-07-28,0,0,0,0,0,73,24,0,0,31
2019-08-04,0,0,0,25,0,25,25,0,0,0
2019-08-11,0,0,0,44,0,44,22,0,0,0
2019-08-18,0,0,0,21,0,41,41,0,0,26
2019-08-25,0,0,0,20,0,20,0,0,0,26
2019-09-01,0,0,0,0,0,0,20,0,0,38
2019-09-08,0,0,0,40,0,40,20,0,0,26
2019-09-15,0,0,19,19,0,28,0,0,0,25
2019-09-22,0,0,19,0,0,19,28,0,0,0
2019-09-29,0,0,19,0,0,38,0,0,0,47
2019-10-06,0,0,0,46,0,18,0,0,0,35
2019-10-13,0,0,0,18,0,37,28,0,0,58
2019-10-20,0,0,0,20,0,20,39,0,0,75
2019-10-27,0,0,19,0,0,0,19,0,0,48
2019-11-03,0,0,0,18,0,36,0,0,0,23
2019-11-10,0,0,0,0,0,18,18,0,0,23
2019-11-17,0,0,0,36,0,27,36,0,0,46
2019-11-24,0,0,0,35,0,18,18,0,0,23
2019-12-01,0,0,0,56,0,0,19,0,0,47
2019-12-08,0,0,0,18,0,18,0,0,0,0
2019-12-15,0,18,0,19,0,19,0,0,0,24
2019-12-22,0,0,0,0,0,21,21,0,0,53
2019-12-29,0,0,0,21,0,21,32,0,0,27
2020-01-05,0,0,0,26,0,18,26,0,0,45
2020-01-12,0,17,0,17,0,26,0,0,0,43
2020-01-19,0,0,18,18,0,27,18,0,0,0
2020-01-26,0,0,0,35,0,17,34,0,0,22
2020-02-02,0,0,18,0,0,0,18,0,0,34
2020-02-09,0,0,0,17,0,17,35,0,0,33
2020-02-16,0,0,0,35,0,17,52,0,0,45
2020-02-23,0,0,0,0,0,17,26,0,0,22
2020-03-01,0,0,0,33,0,17,33,0,0,21
2020-03-08,0,0,0,16,0,16,16,0,0,41
2020-03-15,0,0,0,30,0,23,60,0,0,19
2020-03-22,0,0,0,14,0,0,35,0,0,18
2020-03-29,0,0,0,14,0,28,50,0,0,27
2020-04-05,0,0,0,16,0,16,64,0,0,20
2020-04-12,0,0,0,15,0,39,46,0,0,68
2020-04-19,0,0,15,0,0,29,73,0,0,27
2020-04-26,0,0,0,21,0,48,55,0,0,35
2020-05-03,0,0,0,15,0,38,46,0,0,76
2020-05-10,0,0,0,23,0,30,53,0,0,19
2020-05-17,0,0,0,16,0,24,47,0,0,61
2020-05-24,0,0,0,47,0,47,24,0,0,20
2020-05-31,0,0,0,30,0,15,30,0,0,29
2020-06-07,0,0,0,31,0,16,16,0,0,40
2020-06-14,0,0,0,16,0,24,0,0,0,61
2020-06-21,0,0,17,36,0,17,26,0,0,32
2020-06-28,0,0,0,34,0,0,51,0,0,64
2020-07-05,0,0,0,35,0,26,18,0,0,23
2020-07-12,0,0,0,64,0,64,0,0,0,81
