date,Energiezertifizierer,Dachdecker,Elektriker,Fenster,Smart Home,bauen,Blumen,Einbruch,Schlüsseldienst,Solar
2018-11-04,0,0,12,8,0,23,27,0,0,15
2018-11-11,0,8,0,12,17,26,17,9,0,15
2018-11-18,0,8,8,20,0,44,53,0,0,44
2018-11-25,0,0,9,13,0,19,37,0,0,16
2018-12-02,0,8,8,24,9,17,17,9,0,14
2018-12-09,0,0,9,13,0,23,0,9,8,39
2018-12-16,0,0,0,18,10,30,20,0,8,50
2018-12-23,0,0,0,17,0,49,18,0,10,30
2018-12-30,0,12,0,12,0,32,19,0,11,10
2019-01-06,0,0,0,33,0,15,20,0,0,34
2019-01-13,0,16,8,8,0,31,13,0,0,29
2019-01-20,0,0,0,25,19,9,19,0,0,23
2019-01-27,0,0,8,27,17,21,26,8,14,14
2019-02-03,0,0,7,11,0,37,16,8,0,0
2019-02-10,0,7,11,26,8,33,41,0,0,7
2019-02-17,0,7,0,18,0,20,16,0,7,46
2019-02-24,0,0,7,33,8,28,45,0,7,40
2019-03-03,0,0,16,8,9,30,47,0,7,28
2019-03-10,0,0,0,15,8,8,24,0,0,27
2019-03-17,0,7,7,14,0,46,39,8,13,45
2019-03-24,0,0,7,22,8,35,31,0,0,52
2019-03-31,0,0,0,46,9,26,39,0,0,50
2019-04-07,0,14,0,25,8,24,36,0,0,46
2019-04-14,0,0,0,22,0,20,65,0,0,34
2019-04-21,0,8,0,24,9,35,44,0,0,66
2019-04-28,0,0,0,36,8,28,36,0,0,39
2019-05-05,0,10,7,37,0,19,60,0,0,43
2019-05-12,0,7,7,10,7,19,53,0,6,31
2019-05-19,0,0,7,31,0,23,27,8,6,44
2019-05-26,0,0,15,27,8,17,68,8,0,35
2019-06-02,0,0,0,35,0,34,55,0,14,14
2019-06-09,0,0,8,19,0,21,21,0,0,35
2019-06-16,0,8,0,33,0,27,13,0,0,30
2019-06-23,0,0,9,31,10,20,29,10,0,49
2019-06-30,0,15,8,31,8,21,17,0,0,64
2019-07-07,0,0,0,23,0,21,38,0,0,21
2019-07-14,0,0,0,16,9,31,26,0,0,58
2019-07-21,0,0,0,33,0,36,14,9,8,68
2019-07-28,0,9,9,17,9,38,28,0,0,63
2019-08-04,0,0,9,18,0,14,29,10,0,24
2019-08-11,0,8,8,8,9,14,36,0,0,23
2019-08-18,0,0,0,30,8,17,33,8,0,7
2019-08-25,0,0,0,26,12,33,29,0,0,34
2019-09-01,0,7,7,11,8,16,28,0,0,46
2019-09-08,0,7,0,30,0,8,12,0,0,54
2019-09-15,0,0,7,19,0,20,25,0,0,20
2019-09-22,0,0,11,11,12,16,36,0,7,33
2019-09-29,0,7,7,29,8,16,32,0,0,33
2019-10-06,0,0,7,21,0,16,16,0,6,0
2019-10-13,0,0,0,26,8,24,24,8,0,20
2019-10-20,0,0,7,22,0,20,37,0,0,13
2019-10-27,0,0,0,25,8,16,16,8,0,32
2019-11-03,0,0,0,28,8,16,39,8,0,13
2019-11-10,0,7,7,21,8,23,42,8,0,25
2019-11-17,0,7,7,25,8,12,23,0,0,38
2019-11-24,0,0,7,34,0,23,23,0,0,38
2019-12-01,0,7,7,18,8,20,20,0,0,39
2019-12-08,0,0,0,21,0,8,20,8,0,45
2019-12-15,0,7,11,33,8,24,12,0,0,20
2019-12-22,0,8,0,13,9,23,19,0,0,54
2019-12-29,0,0,9,9,10,15,30,0,0,8
2020-01-05,0,0,8,16,9,23,23,9,8,23
2020-01-12,0,0,0,20,9,22,26,0,0,59
2020-01-19,0,0,0,7,0,16,24,0,0,20
2020-01-26,0,0,11,32,0,32,36,0,7,33
2020-02-02,0,7,7,36,8,16,32,0,7,46
2020-02-09,0,7,7,22,0,12,24,0,0,40
2020-02-16,0,0,0,18,0,28,24,0,7,26
2020-02-23,0,7,0,25,0,12,19,0,0,58
2020-03-01,0,0,0,10,0,0,34,0,0,56
2020-03-08,0,0,10,13,7,32,39,0,0,12
2020-03-15,0,0,15,15,0,25,41,8,0,34
2020-03-22,0,9,0,22,0,10,53,0,8,24
2020-03-29,0,0,0,17,10,10,43,0,8,24
2020-04-05,0,0,0,0,0,15,55,0,0,58
2020-04-12,0,0,0,37,0,26,41,0,0,51
2020-04-19,0,0,0,27,10,10,34,10,0,49
2020-04-26,0,0,8,17,9,14,46,9,0,31
2020-05-03,0,0,9,9,10,24,63,0,0,40
2020-05-10,0,0,0,13,0,14,38,0,0,39
2020-05-17,0,0,0,28,10,36,62,0,0,34
2020-05-24,0,0,0,23,0,20,36,10,0,43
2020-05-31,0,0,0,13,10,30,34,10,0,57
2020-06-07,0,15,7,37,0,16,48,0,0,47
2020-06-14,0,0,0,25,8,12,44,0,0,53
2020-06-21,0,7,7,22,8,16,52,0,0,100
2020-06-28,0,7,7,17,0,11,34,0,0,25
2020-07-05,0,0,0,27,0,30,95,0,7,35
2020-07-12,0,0,0,0,0,73,0,0,0,92
