date,Automazione cancelli,Certificato conformità impianto elettrico,Certificazione energetica,Costruzione o sostituzione tetto,Cronotermostato e termostato,Finestre blindate,Impianto di allarme,Installazione impianto di domotica,Installazione impianto wifi,Installazione o sostituzione doppi vetri,Installazione o sostituzione finestre,Installazione o sostituzione impianto di videosorveglianza,Installazione o sostituzione inferriate,Installazione o sostituzione pannelli fotovoltaici,Installazione o sostituzione porte blindate,Installazione o sostituzione serrature,Installazione o sostituzione vetro antisfondamento,Motorizzazione tapparelle,Rifacimento facciata,Riparazione o manutenzione tetto
2019-07-01,7.5,6.666666666666667,55.833333333333336,8.333333333333332,0.8333333333333334,0.0,20.833333333333336,1.6666666666666667,0.0,0.0,29.166666666666668,3.3333333333333335,6.666666666666667,10.833333333333334,14.166666666666666,20.0,0.8333333333333334,5.0,3.3333333333333335,18.333333333333332
2019-08-01,4.166666666666666,5.833333333333333,29.166666666666668,5.0,0.8333333333333334,0.0,10.833333333333334,0.8333333333333334,0.0,4.166666666666666,31.666666666666664,0.8333333333333334,5.833333333333333,2.5,10.0,15.833333333333332,0.0,5.0,1.6666666666666667,15.0
2019-09-01,5.0,13.333333333333334,74.16666666666667,7.5,2.5,0.0,19.166666666666668,7.5,0.8333333333333334,2.5,28.333333333333332,4.166666666666666,5.0,10.833333333333334,11.666666666666666,22.5,1.6666666666666667,5.833333333333333,3.3333333333333335,19.166666666666668
2019-10-01,5.833333333333333,18.333333333333332,48.333333333333336,7.5,4.166666666666666,1.6666666666666667,17.5,2.5,0.0,5.833333333333333,18.333333333333332,5.833333333333333,5.833333333333333,12.5,9.166666666666666,15.0,1.6666666666666667,0.8333333333333334,0.8333333333333334,15.0
2019-11-01,5.833333333333333,11.666666666666666,58.333333333333336,8.333333333333332,5.833333333333333,0.8333333333333334,25.0,0.8333333333333334,0.0,8.333333333333332,20.833333333333336,4.166666666666666,5.833333333333333,14.166666666666666,16.666666666666664,10.833333333333334,1.6666666666666667,5.0,5.833333333333333,22.5
2019-12-01,14.166666666666666,15.833333333333332,28.333333333333332,9.166666666666666,4.166666666666666,0.0,10.0,0.8333333333333334,0.0,5.833333333333333,16.666666666666664,0.8333333333333334,7.5,5.0,5.0,11.666666666666666,0.8333333333333334,0.8333333333333334,0.8333333333333334,9.166666666666666
2020-01-01,8.333333333333332,15.0,50.0,9.166666666666666,3.3333333333333335,2.5,14.166666666666666,4.166666666666666,0.0,5.0,64.16666666666667,1.6666666666666667,5.0,14.166666666666666,16.666666666666664,5.833333333333333,1.6666666666666667,1.6666666666666667,5.0,5.0
2020-02-01,18.333333333333332,10.0,53.333333333333336,4.166666666666666,3.3333333333333335,2.5,22.5,2.5,0.0,0.8333333333333334,47.5,6.666666666666667,4.166666666666666,15.0,14.166666666666666,9.166666666666666,0.8333333333333334,2.5,6.666666666666667,10.833333333333334
2020-03-01,4.166666666666666,3.3333333333333335,15.0,3.3333333333333335,0.0,1.6666666666666667,9.166666666666666,3.3333333333333335,0.0,0.8333333333333334,20.0,4.166666666666666,3.3333333333333335,9.166666666666666,10.0,10.0,0.0,0.0,0.8333333333333334,2.5
2020-04-01,0.8333333333333334,5.833333333333333,15.833333333333332,7.5,1.6666666666666667,0.0,2.5,0.8333333333333334,0.0,0.8333333333333334,18.333333333333332,3.3333333333333335,2.5,11.666666666666666,6.666666666666667,1.6666666666666667,0.0,0.0,1.6666666666666667,5.833333333333333
2020-05-01,1.6666666666666667,7.5,86.66666666666667,10.0,0.0,1.6666666666666667,6.666666666666667,1.6666666666666667,0.8333333333333334,1.6666666666666667,83.33333333333334,2.5,10.0,100.0,13.333333333333334,15.833333333333332,1.6666666666666667,5.0,3.3333333333333335,25.0
2020-06-01,5.833333333333333,7.5,84.16666666666667,24.166666666666668,0.0,0.0,5.833333333333333,2.5,0.0,3.3333333333333335,53.333333333333336,3.3333333333333335,5.0,22.5,20.0,9.166666666666666,0.0,5.0,7.5,28.333333333333332
2020-07-01,0.8333333333333334,0.8333333333333334,27.500000000000004,5.833333333333333,0.0,0.0,5.833333333333333,0.0,0.0,0.8333333333333334,10.833333333333334,0.8333333333333334,3.3333333333333335,7.5,2.5,1.6666666666666667,0.0,2.5,0.0,3.3333333333333335
