date,Energiezertifizierer,Dachdecker,Elektriker,Fenster,Smart Home,bauen,Blumen,Einbruch,Schlüsseldienst,Solar
2019-01-13,0,0,0,21,0,23,45,0,0,34
2019-01-20,0,0,20,20,0,46,0,0,0,0
2019-01-27,0,0,0,20,0,0,0,0,0,34
2019-02-03,0,0,0,0,23,0,0,0,0,46
2019-02-10,0,0,0,0,0,23,0,0,0,23
2019-02-17,0,0,0,0,23,24,23,0,0,0
2019-02-24,0,0,0,21,0,24,36,0,0,48
2019-03-03,0,0,0,21,0,24,0,0,0,25
2019-03-10,0,0,0,20,0,23,24,0,0,23
2019-03-17,0,0,0,21,0,0,24,0,0,24
2019-03-24,0,0,0,20,0,0,23,0,0,47
2019-03-31,0,0,0,20,0,0,0,0,0,23
2019-04-07,0,0,0,19,0,0,0,0,0,45
2019-04-14,0,0,20,20,0,23,0,0,0,0
2019-04-21,0,0,0,20,23,24,0,0,0,70
2019-04-28,0,0,0,20,0,0,23,0,0,0
2019-05-05,0,0,0,0,0,0,0,0,0,22
2019-05-12,0,0,0,20,0,22,22,0,0,22
2019-05-19,0,0,0,20,0,0,22,0,0,22
2019-05-26,0,0,20,20,22,0,33,0,0,22
2019-06-02,0,0,17,51,0,19,39,0,0,77
2019-06-09,0,0,0,17,0,20,69,0,0,39
2019-06-16,0,0,0,18,20,0,20,0,0,20
2019-06-23,0,0,0,19,22,32,64,0,0,54
2019-06-30,0,0,0,22,0,25,0,0,0,49
2019-07-07,0,0,0,20,0,23,23,0,0,23
2019-07-14,0,0,0,18,20,40,20,0,0,50
2019-07-21,0,0,0,45,0,21,0,0,0,0
2019-07-28,0,0,19,19,0,22,22,0,0,44
2019-08-04,0,0,19,19,0,21,21,0,0,85
2019-08-11,0,0,0,18,0,41,42,0,0,31
2019-08-18,0,0,17,34,20,19,19,0,0,49
2019-08-25,0,0,18,35,0,0,40,0,0,0
2019-09-01,0,0,0,0,0,43,0,0,0,65
2019-09-08,0,0,0,0,0,23,0,0,0,23
2019-09-15,0,0,0,19,0,0,22,0,0,23
2019-09-22,0,0,0,0,22,0,23,0,0,23
2019-09-29,0,0,0,39,0,22,22,0,0,44
2019-10-06,0,0,0,0,0,0,0,0,0,21
2019-10-13,0,0,0,0,22,0,22,0,0,44
2019-10-20,0,0,0,20,0,23,0,0,0,68
2019-10-27,0,0,0,0,0,0,0,0,0,50
2019-11-03,0,0,0,20,0,0,23,0,0,46
2019-11-10,0,0,0,0,0,0,22,0,0,0
2019-11-17,0,0,0,0,0,0,0,0,0,0
2019-11-24,0,0,0,0,0,22,22,0,0,34
2019-12-01,0,0,0,20,23,0,0,0,0,23
2019-12-08,0,0,0,0,0,0,0,0,0,0
2019-12-15,0,0,0,0,0,46,0,0,0,24
2019-12-22,0,0,0,51,29,0,60,0,0,30
2019-12-29,0,0,0,24,0,0,0,0,0,27
2020-01-05,0,0,0,0,0,23,23,0,0,23
2020-01-12,0,0,0,19,0,0,0,0,0,45
2020-01-19,0,0,0,0,0,33,0,0,0,22
2020-01-26,0,0,0,0,0,42,22,0,0,43
2020-02-02,0,0,0,19,43,44,22,0,0,44
2020-02-09,0,0,0,0,0,0,23,0,0,48
2020-02-16,0,0,0,0,0,0,0,0,0,35
2020-02-23,0,0,0,19,0,43,22,0,0,43
2020-03-01,0,0,0,18,0,0,0,0,0,41
2020-03-08,0,0,0,0,0,0,0,0,0,39
2020-03-15,0,0,0,0,0,20,30,0,0,19
2020-03-22,0,0,0,0,19,37,18,0,0,19
2020-03-29,0,0,0,0,0,0,19,0,0,19
2020-04-05,0,0,0,18,0,0,0,0,0,50
2020-04-12,0,0,0,27,0,20,51,0,0,40
2020-04-19,0,0,0,0,0,0,42,0,0,42
2020-04-26,0,0,0,0,0,77,38,0,0,76
2020-05-03,0,0,0,16,0,19,36,0,0,36
2020-05-10,0,0,0,48,18,18,18,0,0,27
2020-05-17,0,0,0,17,0,38,20,0,0,38
2020-05-24,0,0,17,17,0,0,57,0,0,0
2020-05-31,0,0,0,33,0,0,19,0,0,47
2020-06-07,0,0,0,16,0,0,35,0,0,27
2020-06-14,0,0,17,25,19,0,19,0,0,96
2020-06-21,0,0,0,35,0,20,41,0,0,60
2020-06-28,0,0,0,18,0,21,21,0,0,62
2020-07-05,0,0,0,17,20,0,30,0,0,30
2020-07-12,0,0,65,65,0,0,0,0,0,73
