Year,ticket_geo_region_name,Wed_type,Distribution
2020,Abruzzo,Religioso,NA
2020,Abruzzo,Simbolico,NA
2020,Abruzzo,Civile,NA
2020,Valle d'Aosta,Religioso,NA
2020,Valle d'Aosta,Simbolico,NA
2020,Valle d'Aosta,Civile,NA
2020,Basilicata,Religioso,NA
2020,Basilicata,Simbolico,NA
2020,Basilicata,Civile,NA
2020,Calabria,Religioso,NA
2020,Calabria,Simbolico,NA
2020,Calabria,Civile,NA
2020,Campania,Religioso,NA
2020,Campania,Simbolico,NA
2020,Campania,Civile,NA
2020,Emilia-Romagna,Religioso,0.18
2020,Emilia-Romagna,Simbolico,0.0
2020,Emilia-Romagna,Civile,0.82
2020,Friuli Venezia Giulia,Religioso,NA
2020,Friuli Venezia Giulia,Simbolico,NA
2020,Friuli Venezia Giulia,Civile,NA
2020,Italia,Religioso,0.29
2020,Italia,Simbolico,0.03
2020,Italia,Civile,0.69
2020,Lazio,Religioso,NA
2020,Lazio,Simbolico,NA
2020,Lazio,Civile,NA
2020,Liguria,Religioso,NA
2020,Liguria,Simbolico,NA
2020,Liguria,Civile,NA
2020,Lombardia,Religioso,0.23
2020,Lombardia,Simbolico,0.05
2020,Lombardia,Civile,0.72
2020,Marche,Religioso,NA
2020,Marche,Simbolico,NA
2020,Marche,Civile,NA
2020,Molise,Religioso,NA
2020,Molise,Simbolico,NA
2020,Molise,Civile,NA
2020,Piemonte,Religioso,0.13
2020,Piemonte,Simbolico,0.0
2020,Piemonte,Civile,0.87
2020,Puglia,Religioso,0.3
2020,Puglia,Simbolico,0.0
2020,Puglia,Civile,0.7
2020,Sardegna,Religioso,NA
2020,Sardegna,Simbolico,NA
2020,Sardegna,Civile,NA
2020,Sicilia,Religioso,0.38
2020,Sicilia,Simbolico,0.0
2020,Sicilia,Civile,0.62
2020,Trentino-Alto Adige,Religioso,NA
2020,Trentino-Alto Adige,Simbolico,NA
2020,Trentino-Alto Adige,Civile,NA
2020,Toscana,Religioso,0.29
2020,Toscana,Simbolico,0.0
2020,Toscana,Civile,0.71
2020,Umbria,Religioso,NA
2020,Umbria,Simbolico,NA
2020,Umbria,Civile,NA
2020,Veneto,Religioso,0.27
2020,Veneto,Simbolico,0.0
2020,Veneto,Civile,0.73
