Year,ticket_geo_region_name,Location_type,Distribution
2018,Sachsen-Anhalt,hochzeit villa,0.0
2018,Schleswig-Holstein,hochzeit hotel,0.6
2018,Schleswig-Holstein,hochzeit schloss,0.4
2018,Schleswig-Holstein,hochzeit villa,0.0
2018,Thüringen,hochzeit hotel,0.35
2018,Thüringen,hochzeit schloss,0.65
2018,Thüringen,hochzeit villa,0.0
2019,Baden-Württemberg,hochzeit hotel,0.32
2019,Baden-Württemberg,hochzeit schloss,0.52
2019,Baden-Württemberg,hochzeit villa,0.16
2019,Bayern,hochzeit hotel,0.39
2019,Bayern,hochzeit schloss,0.5
2019,Bayern,hochzeit villa,0.11
2019,Berlin,hochzeit hotel,0.33
2019,Berlin,hochzeit schloss,0.51
2019,Berlin,hochzeit villa,0.16
2019,Brandenburg,hochzeit hotel,0.45
2019,Brandenburg,hochzeit schloss,0.55
2019,Brandenburg,hochzeit villa,0.0
2019,Bremen,hochzeit hotel,0.0
2019,Bremen,hochzeit schloss,0.0
2019,Bremen,hochzeit villa,0.0
2019,Deutschland,hochzeit hotel,0.36
2019,Deutschland,hochzeit schloss,0.54
2019,Deutschland,hochzeit villa,0.1
2019,Hamburg,hochzeit hotel,0.58
2019,Hamburg,hochzeit schloss,0.42
2019,Hamburg,hochzeit villa,0.0
2019,Hessen,hochzeit hotel,0.35
2019,Hessen,hochzeit schloss,0.47
2019,Hessen,hochzeit villa,0.18
2019,Niedersachsen,hochzeit hotel,0.51
2019,Niedersachsen,hochzeit schloss,0.49
2019,Niedersachsen,hochzeit villa,0.0
2019,Mecklenburg-Vorpommern,hochzeit hotel,0.45
2019,Mecklenburg-Vorpommern,hochzeit schloss,0.55
2019,Mecklenburg-Vorpommern,hochzeit villa,0.0
2019,Nordrhein-Westfalen,hochzeit hotel,0.31
2019,Nordrhein-Westfalen,hochzeit schloss,0.55
2019,Nordrhein-Westfalen,hochzeit villa,0.14
2019,Rheinland-Pfalz,hochzeit hotel,0.41
2019,Rheinland-Pfalz,hochzeit schloss,0.45
2019,Rheinland-Pfalz,hochzeit villa,0.14
2019,Saarland,hochzeit hotel,0.0
2019,Saarland,hochzeit schloss,1.0
2019,Saarland,hochzeit villa,0.0
2019,Sachsen,hochzeit hotel,0.28
2019,Sachsen,hochzeit schloss,0.5
2019,Sachsen,hochzeit villa,0.22
2019,Sachsen-Anhalt,hochzeit hotel,0.48
2019,Sachsen-Anhalt,hochzeit schloss,0.52
2019,Sachsen-Anhalt,hochzeit villa,0.0
2019,Schleswig-Holstein,hochzeit hotel,0.64
2019,Schleswig-Holstein,hochzeit schloss,0.36
2019,Schleswig-Holstein,hochzeit villa,0.0
2019,Thüringen,hochzeit hotel,0.39
2019,Thüringen,hochzeit schloss,0.61
2019,Thüringen,hochzeit villa,0.0
2020,Baden-Württemberg,hochzeit hotel,0.33
2020,Baden-Württemberg,hochzeit schloss,0.46
2020,Baden-Württemberg,hochzeit villa,0.2
2020,Bayern,hochzeit hotel,0.39
2020,Bayern,hochzeit schloss,0.49
2020,Bayern,hochzeit villa,0.12
2020,Berlin,hochzeit hotel,0.38
2020,Berlin,hochzeit schloss,0.44
2020,Berlin,hochzeit villa,0.18
2020,Brandenburg,hochzeit hotel,0.34
2020,Brandenburg,hochzeit schloss,0.66
2020,Brandenburg,hochzeit villa,0.0
2020,Bremen,hochzeit hotel,0.0
2020,Bremen,hochzeit schloss,0.0
2020,Bremen,hochzeit villa,0.0
2020,Deutschland,hochzeit hotel,0.35
2020,Deutschland,hochzeit schloss,0.54
2020,Deutschland,hochzeit villa,0.1
2020,Hamburg,hochzeit hotel,0.4
2020,Hamburg,hochzeit schloss,0.6
2020,Hamburg,hochzeit villa,0.0
2020,Hessen,hochzeit hotel,0.32
2020,Hessen,hochzeit schloss,0.51
2020,Hessen,hochzeit villa,0.17
2020,Niedersachsen,hochzeit hotel,0.51
2020,Niedersachsen,hochzeit schloss,0.49
2020,Niedersachsen,hochzeit villa,0.0
2020,Mecklenburg-Vorpommern,hochzeit hotel,0.46
2020,Mecklenburg-Vorpommern,hochzeit schloss,0.54
2020,Mecklenburg-Vorpommern,hochzeit villa,0.0
2020,Nordrhein-Westfalen,hochzeit hotel,0.32
2020,Nordrhein-Westfalen,hochzeit schloss,0.55
2020,Nordrhein-Westfalen,hochzeit villa,0.14
2020,Rheinland-Pfalz,hochzeit hotel,0.37
2020,Rheinland-Pfalz,hochzeit schloss,0.38
2020,Rheinland-Pfalz,hochzeit villa,0.25
2020,Saarland,hochzeit hotel,0.0
2020,Saarland,hochzeit schloss,1.0
2020,Saarland,hochzeit villa,0.0
2020,Sachsen,hochzeit hotel,0.3
2020,Sachsen,hochzeit schloss,0.62
2020,Sachsen,hochzeit villa,0.08
2020,Sachsen-Anhalt,hochzeit hotel,0.51
2020,Sachsen-Anhalt,hochzeit schloss,0.49
2020,Sachsen-Anhalt,hochzeit villa,0.0
2020,Schleswig-Holstein,hochzeit hotel,0.51
2020,Schleswig-Holstein,hochzeit schloss,0.49
2020,Schleswig-Holstein,hochzeit villa,0.0
2020,Thüringen,hochzeit hotel,0.27
2020,Thüringen,hochzeit schloss,0.73
2020,Thüringen,hochzeit villa,0.0
